Wolof,ajami
"du ko man a indil sobe,","دو كو مان ا ينديل سوبە,"
"ndaxte du dugg ci xol, waaye ci","نداختە دو دوگگ چي خول, واايە چي"
"biiram lay jëm, ba noppi daldi génn","بييرام لاي جێم, با نوپپي دالدي گێنن"
ca bérab bu làqu?» Ci li mu,چا بێراب بو لاقو?» چي لي مو
wax loolu Yeesu daganal na bépp ñam.,واخ لوولو يەەسو داگانال نا بێپپ ڽام.
Yeesu ne leen ati: «Li génn ci,يەەسو نە لەەن اتي: «لي گێنن چي
"nit, loolu mooy indil nit sobe.","نيت, لوولو مووي ينديل نيت سوبە."
"Ndaxte ci biir, ci xolu nit, la","نداختە چي بيير, چي خولو نيت, لا"
"xalaat yu bon di jóge ak ndoxaanu yàqute, càcc ak bóom,","خالاات يو بون دي جۆگە اك ندوخاانو ياقوتە, چاچچ اك بۆوم,"
"njaaloo ak bëgge, coxor, naaféq, ñaawteef, ñeetaan,","نجاالوو اك بێگگە, چوخور, ناافێق, ڽااوتەەف, ڽەەتاان,"
"saaga, réylu ak jëfi ndof.","سااگا, رێيلو اك جێفي ندوف."
Lu bon loolu lépp day génn ci,لو بون لوولو لێپپ داي گێنن چي
"nit, di ko indil sobe.»","نيت, دي كو ينديل سوبە.»"
"Gannaaw loolu Yeesu jóge fa, jëm weti","گاننااو لوولو يەەسو جۆگە فا, جێم وەتي"
"dëkku Tir. Bi mu fa eggee, mu","دێككو تير. بي مو فا ەگگەە, مو"
"dugg ci kër, te bëggul kenn xam","دوگگ چي كێر, تە بێگگول كەنن خام"
"ko, waaye jataayam mënul a umpe.","كو, واايە جاتاايام مێنول ا ومپە."
Amoon na fa nag jigéen ju rab,اموون نا فا ناگ جيگێەن جو راب
jàpp doomam ju jigéen. Bi mu déggee,جاپپ دوومام جو جيگێەن. بي مو دێگگەە
"ne, Yeesoo nga fa, mu ñëw, daanu ciy tànkam,","نە, يەەسوو ڠا فا, مو ڽێو, داانو چيي تانكام,"
fekk jigéen ja ci xeetu Gereg la,فەكك جيگێەن جا چي خەەتو گەرەگ لا
"bokkoon, juddoo wàlli Fenisi ci diiwaanu Siri.","بوككوون, جوددوو واللي فەنيسي چي دييواانو سيري."
"Noonu jigéen ja ñaan ko, mu dàq rab wi ci doomam.","نوونو جيگێەن جا ڽاان كو, مو داق راب وي چي دوومام."
Waaye Yeesu ne ko: «Na gune yi,واايە يەەسو نە كو: «نا گونە يي
"jëkk a lekk, ba regg; fab ñamu","جێكك ا لەكك, با رەگگ; فاب ڽامو"
"gune yi, sànni ko xaj yi, rafetul.»","گونە يي, سانني كو خاج يي, رافەتول.»"
"Jigéen ji tontu ko: «Waaw sang bi,","جيگێەن جي تونتو كو: «وااو ساڠ بي,"
"teewul xaj yi di lekk ruusit, yi","تەەوول خاج يي دي لەكك رووسيت, يي"
rot ci lekkukaayu gune yi.»,روت چي لەككوكاايو گونە يي.»
Ci kaw loolu Yeesu ne ko: «Ndax,چي كاو لوولو يەەسو نە كو: «نداخ
"wax jooju demal ci jàmm, rab wa génn na sa doom.»","واخ جووجو دەمال چي جامم, راب وا گێنن نا سا دووم.»"
"Noonu mu ñibbi, fekk doom ji tëdd","نوونو مو ڽيببي, فەكك دووم جي تێدد"
cib lal te mucc ci rab wi.,چيب لال تە موچچ چي راب وي.
Bi loolu amee Yeesu jóge na weti,بي لوولو امەە يەەسو جۆگە نا وەتي
"Tir, jaar ci wàlli dëkku Sidon, dem","تير, جاار چي واللي دێككو سيدون, دەم"
"dexu Galile, ba noppi dugg ci biir","دەخو گاليلە, با نوپپي دوگگ چي بيير"
"diiwaan, bi ñuy wax Fukki dëkk yi.","دييواان, بي ڽوي واخ فوككي دێكك يي."
Foofa ñu indil ko ku tëx te,فووفا ڽو ينديل كو كو تێخ تە
"dër lool, ñaan ko mu teg ko loxo.","دێر لوول, ڽاان كو مو تەگ كو لوخو."
"Noonu Yeesu yóbbu ko, ba ñu sore","نوونو يەەسو يۆببو كو, با ڽو سورە"
"mbooloo mi, mu def ay baaraamam ciy","مبوولوو مي, مو دەف اي بااراامام چيي"
"noppam, daldi tifli, laal làmmiñam.","نوپپام, دالدي تيفلي, لاال لامميڽام."
"Mu yërëm ko, ba binni ci xolam,","مو يێرێم كو, با بينني چي خولام,"
"xool ci asamaan, daldi ne: «Effata,» liy tekki: «Ubbikuleen.»","خوول چي اساماان, دالدي نە: «ەففاتا,» ليي تەككي: «وببيكولەەن.»"
Ci saa si ay noppam daldi dégg,چي ساا سي اي نوپپام دالدي دێگگ
"te làmmiñam yiwiku, muy wax bu leer.","تە لامميڽام ييويكو, موي واخ بو لەەر."
"Bi mu ko defee Yeesu tere leen,","بي مو كو دەفەە يەەسو تەرە لەەن,"
"ñu wax ko kenn, waaye lu mu","ڽو واخ كو كەنن, واايە لو مو"
"leen ko gën a tere, ñu gën ko nee siiwale.","لەەن كو گێن ا تەرە, ڽو گێن كو نەە سييوالە."
Ñu waaru lool naan: «Lépp lu mu,ڽو واارو لوول ناان: «لێپپ لو مو
"def, lu yéeme la. May na sax","دەف, لو يێەمە لا. ماي نا ساخ"
"tëx yi ñuy dégg, ak luu yi ñuy wax.»","تێخ يي ڽوي دێگگ, اك لوو يي ڽوي واخ.»"
Ca bés yooya mbooloo mu réy amaatoon,چا بێس يوويا مبوولوو مو رێي امااتوون
"na, te amuñu woon lu ñu lekk.","نا, تە اموڽو ووون لو ڽو لەكك."
Noonu Yeesu woo taalibe ya ne leen:,نوونو يەەسو ووو تااليبە يا نە لەەن:
"«Yërëm naa mbooloo mi, ndaxte toog nañu","«يێرێم ناا مبوولوو مي, نداختە تووگ ناڽو"
"fi man ñetti fan, te amatuñu lu ñu lekk.","في مان ڽەتتي فان, تە اماتوڽو لو ڽو لەكك."
"Su ma leen yiwee ak seen xiif,","سو ما لەەن ييوەە اك سەەن خييف,"
"dinañu tële ci yoon wi, ndaxte am","ديناڽو تێلە چي يوون وي, نداختە ام"
na ñu jóge fu sore.»,نا ڽو جۆگە فو سورە.»
Taalibe yi tontu ko: «Waaye fii àllub,تااليبە يي تونتو كو: «واايە فيي اللوب
neen la; fu nuy jële lu doy ngir dundal leen?»,نەەن لا; فو نوي جێلە لو دوي ڠير دوندال لەەن?»
Yeesu laaj leen: «Ñaata mburu ngeen am?» Ñu ne ko: «Juróom-ñaar.»,يەەسو لااج لەەن: «ڽااتا مبورو ڠەەن ام?» ڽو نە كو: «جورۆوم-ڽاار.»
"Noonu Yeesu sant mbooloo mi, ñu toog","نوونو يەەسو سانت مبوولوو مي, ڽو تووگ"
"ci suuf. Mu jël juróom-ñaari mburu yi,","چي سووف. مو جێل جورۆوم-ڽااري مبورو يي,"
"sant Yàlla, damm leen, jox leen taalibe","سانت ياللا, دامم لەەن, جوخ لەەن تااليبە"
"yi, ngir ñu séddale leen mbooloo mi; taalibe yi def ko.","يي, ڠير ڽو سێددالە لەەن مبوولوو مي; تااليبە يي دەف كو."
Amoon na fa it tuuti jën yu,اموون نا فا يت تووتي جێن يو
"ndaw. Yeesu jël ko, sant Yàlla, wax","نداو. يەەسو جێل كو, سانت ياللا, واخ"
"taalibe yi, ñu séddale leen itam mbooloo mi.","تااليبە يي, ڽو سێددالە لەەن يتام مبوولوو مي."
"Noonu nit ñi lekk ba suur, ba","نوونو نيت ڽي لەكك با سوور, با"
noppi taalibe yi dajale juróom-ñaari dàmba yu,نوپپي تااليبە يي داجالە جورۆوم-ڽااري دامبا يو
fees ak dammit yi ci des.,فەەس اك دامميت يي چي دەس.
Ña ko fekke nag matoon nañu ñeenti junniy góor.,ڽا كو فەككە ناگ ماتوون ناڽو ڽەەنتي جوننيي گۆور.
"Bi ko Yeesu defee, mu yiwi leen,","بي كو يەەسو دەفەە, مو ييوي لەەن,"
daldi dugg ak taalibe ya ca gaal,دالدي دوگگ اك تااليبە يا چا گاال
"ga, dem ca wàlli Dalmanuta.","گا, دەم چا واللي دالمانوتا."
"Noonu Farisen yi ñëw, di werante ak","نوونو فاريسەن يي ڽێو, دي وەرانتە اك"
"moom; ñu fexe koo fiir, ba laaj","مووم; ڽو فەخە كوو فيير, با لااج"
ko kéemaan gu jóge ci asamaan tey firndeel yónnentam.,كو كێەماان گو جۆگە چي اساماان تەي فيرندەەل يۆننەنتام.
Waaye Yeesu binni ci xolam ne leen:,واايە يەەسو بينني چي خولام نە لەەن:
«Lu tax niti jamono jii di laaj,«لو تاخ نيتي جامونو جيي دي لااج
kéemaan? Ci dëgg maa ngi leen koy,كێەماان? چي دێگگ ماا ڠي لەەن كوي
"wax, duñu jot genn kéemaan.»","واخ, دوڽو جوت گەنن كێەماان.»"
"Ci kaw loolu Yeesu bàyyi leen, duggaat","چي كاو لوولو يەەسو باييي لەەن, دوگگاات"
"ci gaal gi, di jàll dex gi.","چي گاال گي, دي جالل دەخ گي."
Taalibe yi nag fàtte woon nañu yóbbaale,تااليبە يي ناگ فاتتە ووون ناڽو يۆبباالە
"mburu, te amuñu woon lu dul benn mburu ci gaal gi.","مبورو, تە اموڽو ووون لو دول بەنن مبورو چي گاال گي."
Noonu Yeesu artu leen ne: «Wottuleen te,نوونو يەەسو ارتو لەەن نە: «ووتتولەەن تە
moytu lawiiru Farisen yi ak ñi far ak buur bi Erodd.»,مويتو لاوييرو فاريسەن يي اك ڽي فار اك بوور بي ەرودد.»
Taalibe yi nag daldi werante naan: «Nun de indaalewunu mburu.»,تااليبە يي ناگ دالدي وەرانتە ناان: «نون دە ينداالەوونو مبورو.»
Waaye Yeesu yég loolu ne leen: «Lu,واايە يەەسو يێگ لوولو نە لەەن: «لو
tax ngeen di werante ci li ngeen,تاخ ڠەەن دي وەرانتە چي لي ڠەەن
indaalewul mburu? Xanaa gisaguleen te xamuleen? Ndax,ينداالەوول مبورو? خاناا گيساگولەەن تە خامولەەن? نداخ
seen xol dafa fatt ba tey?,سەەن خول دافا فاتت با تەي?
"Ndax ay gumbay njàccaar ngeen, te seeni nopp naqari? Xanaa fàttalikuwuleen;","نداخ اي گومباي نجاچچاار ڠەەن, تە سەەني نوپپ ناقاري? خاناا فاتتاليكووولەەن;"
bi ma dammee juróomi mburu ya ngir,بي ما داممەە جورۆومي مبورو يا ڠير
"juróomi junni ña, ñaata pañe yu fees","جورۆومي جونني ڽا, ڽااتا پاڽە يو فەەس"
ak ay dammit ngeen ca dajale woon?»,اك اي دامميت ڠەەن چا داجالە ووون?»
Ñu tontu ko: «Fukk ak ñaar.»,ڽو تونتو كو: «فوكك اك ڽاار.»
Yeesu neeti leen: «Te bés bi ma,يەەسو نەەتي لەەن: «تە بێس بي ما
dammee juróom-ñaari mburu yi ngir ñeenti junni,داممەە جورۆوم-ڽااري مبورو يي ڠير ڽەەنتي جونني
"ñi, ñaata dàmba yu fees ak dammit","ڽي, ڽااتا دامبا يو فەەس اك دامميت"
ngeen dajale woon?» Ñu ne ko: «Juróom ñaar.»,ڠەەن داجالە ووون?» ڽو نە كو: «جورۆوم ڽاار.»
Noonu Yeesu ne leen: «Ndax seen xol dafa tëju ba tey?»,نوونو يەەسو نە لەەن: «نداخ سەەن خول دافا تێجو با تەي?»
Gannaaw loolu ñu ñëw ci Betsayda. Foofa,گاننااو لوولو ڽو ڽێو چي بەتسايدا. فووفا
"ñu indil Yeesu ku gumba, di ko ñaan, mu laal ko.","ڽو ينديل يەەسو كو گومبا, دي كو ڽاان, مو لاال كو."
"Yeesu nag jàpp loxob gumba gi, yóbbu","يەەسو ناگ جاپپ لوخوب گومبا گي, يۆببو"
"ko, ba génn dëkk bi. Mu def","كو, با گێنن دێكك بي. مو دەف"
"tiflit ciy bëtam, teg ko loxo naan: «Ndax gis nga dara?»","تيفليت چيي بێتام, تەگ كو لوخو ناان: «نداخ گيس ڠا دارا?»"
Waa ji xool ne ko: «Gis naa,واا جي خوول نە كو: «گيس ناا
"ay nit, ñu mel ni ay garab, te ñu ngi dox.»","اي نيت, ڽو مەل ني اي گاراب, تە ڽو ڠي دوخ.»"
"Kon Yeesu laalaat bët yi, gumba gi","كون يەەسو لاالاات بێت يي, گومبا گي"
"ne xefeet, daldi wér, ba gis lépp bu leer.","نە خەفەەت, دالدي وێر, با گيس لێپپ بو لەەر."
Ci kaw loolu Yeesu sant ko mu,چي كاو لوولو يەەسو سانت كو مو
ñibbi ne ko: «Bul dugg ca dëkk ba.»,ڽيببي نە كو: «بول دوگگ چا دێكك با.»
Bi loolu amee Yeesu ànd ak ay,بي لوولو امەە يەەسو اند اك اي
"taalibeem, dem ca dëkk, yi wër Sesare","تااليبەەم, دەم چا دێكك, يي وێر سەسارە"
"bu Filib. Bi ñuy dem nag, mu","بو فيليب. بي ڽوي دەم ناگ, مو"
"laaj taalibe yi: «Nit ñi, lu ñu","لااج تااليبە يي: «نيت ڽي, لو ڽو"
wax ne man moom laa?»,واخ نە مان مووم لاا?»
"Ñu ne ko: «Am na ñuy ne,","ڽو نە كو: «ام نا ڽوي نە,"
"yaa di Yaxya; ñeneen ne, Iliyas; ñi","ياا دي ياخيا; ڽەنەەن نە, يليياس; ڽي"
"ci des ne, yaay kenn ci yonent yi.»","چي دەس نە, يااي كەنن چي يونەنت يي.»"
"Noonu Yeesu laaj leen: «Yéen nag, ku","نوونو يەەسو لااج لەەن: «يێەن ناگ, كو"
ngeen wax ne moom laa?» Piyeer tontu,ڠەەن واخ نە مووم لاا?» پييەەر تونتو
ko: «Yaa di Almasi bi.»,كو: «ياا دي الماسي بي.»
"wóor, ñu bañ koo wax kenn.","وۆور, ڽو باڽ كوو واخ كەنن."
Booba Yeesu tàmbali na leen a xamal,بووبا يەەسو تامبالي نا لەەن ا خامال
"ne, Doomu nit ki war na sonn","نە, دوومو نيت كي وار نا سونن"
"lu bare; njiit ya, saraxalekat yu mag","لو بارە; نجييت يا, ساراخالەكات يو ماگ"
"ya ak xutbakat ya dëddu ko, ñu","يا اك خوتباكات يا دێددو كو, ڽو"
"rey ko, mu dekki ci ñetti fan.","رەي كو, مو دەككي چي ڽەتتي فان."
"Noonu mu xamal leen mbir mi, ba","نوونو مو خامال لەەن مبير مي, با"
"mu leer nàññ. Bi ko Piyeer déggee,","مو لەەر ناڽڽ. بي كو پييەەر دێگگەە,"
"mu woo ko ci pegg, daldi ko yedd.","مو ووو كو چي پەگگ, دالدي كو يەدد."
"Waaye Yeesu geestu, gis yeneen taalibe yi,","واايە يەەسو گەەستو, گيس يەنەەن تااليبە يي,"
mu daldi yedd Piyeer ne ko: «Sore,مو دالدي يەدد پييەەر نە كو: «سورە
"ma Seytaane; yëfi nit ngay fonk, waaye du yëfi Yàlla.»","ما سەيتاانە; يێفي نيت ڠاي فونك, واايە دو يێفي ياللا.»"
Noonu Yeesu woo taalibe yi ak mbooloo,نوونو يەەسو ووو تااليبە يي اك مبوولوو
mi ne leen: «Ku bëgg a topp,مي نە لەەن: «كو بێگگ ا توپپ
"ci samay tànk, na bàyyi boppam te","چي ساماي تانك, نا باييي بوپپام تە"
gàddu bant bi ñu ko war a,گاددو بانت بي ڽو كو وار ا
"daaj, door a topp ci man.","دااج, دوور ا توپپ چي مان."
ñàkk sa bakkan ngir man ak ngir,ڽاكك سا باككان ڠير مان اك ڠير
"xebaar bu baax bi, dinga ko jotaat.","خەباار بو بااخ بي, ديڠا كو جوتاات."
"Ndaxte moom àddina sépp, lu muy jariñ nit, bu ñàkkee bakkanam?","نداختە مووم اددينا سێپپ, لو موي جاريڽ نيت, بو ڽاككەە باككانام?"
"Te nit, lu mu war a weccee bakkanam?","تە نيت, لو مو وار ا وەچچەە باككانام?"
"Ku ma rus a faral, te nanguwul","كو ما روس ا فارال, تە ناڠووول"
"samay wax ci kanamu niti jamono jii,","ساماي واخ چي كانامو نيتي جامونو جيي,"
ñi fecci seen kóllëre ak Yàlla te,ڽي فەچچي سەەن كۆللێرە اك ياللا تە
"topp bàkkaar, Doomu nit ki dina la","توپپ باككاار, دوومو نيت كي دينا لا"
"rus a xam, bés bu ñëwee ci","روس ا خام, بێس بو ڽێوەە چي"
"ndamu Baayam, ànd ak malaaka yu sell yi.»","ندامو باايام, اند اك مالااكا يو سەلل يي.»"
Mu ne leen ati: «Ci dëgg maa,مو نە لەەن اتي: «چي دێگگ ماا
"ngi leen koy wax, am na ñi","ڠي لەەن كوي واخ, ام نا ڽي"
"fi taxaw, ñoo xam ne duñu dee,","في تاخاو, ڽوو خام نە دوڽو دەە,"
te gisuñu nguuru Yàlla ñëw ak doole.»,تە گيسوڽو ڠوورو ياللا ڽێو اك دوولە.»
"ak Piyeer, Saag ak Yowaana, mu yóbbu","اك پييەەر, سااگ اك يوواانا, مو يۆببو"
leen ñoom rekk fu wéet ci tund,لەەن ڽووم رەكك فو وێەت چي توند
wu kawe lool. Foofa jëmmam soppiku ci seen kanam;,وو كاوە لوول. فووفا جێممام سوپپيكو چي سەەن كانام;
"ay yéreem di ray-rayi, weex tàll, te","اي يێرەەم دي راي-رايي, وەەخ تالل, تە"
fóotukatu àddina mënu leen weexale nii.,فۆوتوكاتو اددينا مێنو لەەن وەەخالە نيي.
Noonu ñu gis yonenti Yàlla Iliyas ak,نوونو ڽو گيس يونەنتي ياللا يليياس اك
"Musaa, di wax ak Yeesu.","موساا, دي واخ اك يەەسو."
"Piyeer daldi ne Yeesu: «Kilifa gi, bég","پييەەر دالدي نە يەەسو: «كيليفا گي, بێگ"
nanu ci sunu teew fii; nanu defar,نانو چي سونو تەەو فيي; نانو دەفار
"Fekk xamul lu muy wax, ndaxte tiitaange","فەكك خامول لو موي واخ, نداختە تييتااڠە"
jàpp na leen ñoom ñett ñépp.,جاپپ نا لەەن ڽووم ڽەتت ڽێپپ.
"Noonu niir muur leen, te baat jibe","نوونو نيير موور لەەن, تە باات جيبە"
ca niir wa naan: «Kii mooy sama,چا نيير وا ناان: «كيي مووي ساما
"Doom ji ma bëgg, ci moom laa ame bànneex; dégluleen ko.»","دووم جي ما بێگگ, چي مووم لاا امە باننەەخ; دێگلولەەن كو.»"
"Ci saa si taalibe yi xool, waaye","چي ساا سي تااليبە يي خوول, واايە"
"gisatuñu kenn, ku dul Yeesu rekk.","گيساتوڽو كەنن, كو دول يەەسو رەكك."
"wa. Bi muy wàcc nag, Yeesu sant","وا. بي موي واچچ ناگ, يەەسو سانت"
"gis, ba kera Doomu nit ki dekki na.»","گيس, با كەرا دوومو نيت كي دەككي نا.»"
"Ñu téye wax jooju ci seen biir,","ڽو تێيە واخ جووجو چي سەەن بيير,"
"di sotteente xel, ba xam lu ndekkite looluy tekki.","دي سوتتەەنتە خەل, با خام لو ندەككيتە لوولوي تەككي."
Noonu taalibe yi laaj Yeesu: «Lu tax,نوونو تااليبە يي لااج يەەسو: «لو تاخ
"xutbakat yi di naan, Iliyas moo war a jëkk a ñëw?»","خوتباكات يي دي ناان, يليياس موو وار ا جێكك ا ڽێو?»"
"Yeesu ne leen: «Waaw, Iliyas dina jëkk","يەەسو نە لەەن: «وااو, يليياس دينا جێكك"
"a ñëw, jubbanti lépp. Waaye itam lu","ا ڽێو, جوببانتي لێپپ. واايە يتام لو"
"tax bind nañu ne, Doomu nit ki","تاخ بيند ناڽو نە, دوومو نيت كي"
"war na sonn lu bare, ñu xeeb ko, dëddu ko.","وار نا سونن لو بارە, ڽو خەەب كو, دێددو كو."
"Waaye maa ngi leen di wax ne,","واايە ماا ڠي لەەن دي واخ نە,"
"Iliyas ñëw na, te def nañu ko","يليياس ڽێو نا, تە دەف ناڽو كو"
"la leen neex, ni ko Mbind mi waxe.»","لا لەەن نەەخ, ني كو مبيند مي واخە.»"
"Bi nga xamee ne Yeesu ñëw na,","بي ڠا خامەە نە يەەسو ڽێو نا,"
"ba jege taalibe yi, mu gis mbooloo","با جەگە تااليبە يي, مو گيس مبوولوو"
"mu bare wër leen, te ay xutbakat di werante ak ñoom.","مو بارە وێر لەەن, تە اي خوتباكات دي وەرانتە اك ڽووم."
"Naka la mbooloo mi gis Yeesu, ñu","ناكا لا مبوولوو مي گيس يەەسو, ڽو"
"waaru, daldi daw nuyu ko.","واارو, دالدي داو نويو كو."
Noonu Yeesu laaj leen: «Ci lan ngeen di werante ak ñoom?»,نوونو يەەسو لااج لەەن: «چي لان ڠەەن دي وەرانتە اك ڽووم?»
Kenn ci mbooloo mi tontu ko ne:,كەنن چي مبوولوو مي تونتو كو نە:
"«Kilifa gi, rab jàpp na sama doom,","«كيليفا گي, راب جاپپ نا ساما دووم,"
"ba luuloo ko. Saa su ko jàppee,","با لوولوو كو. ساا سو كو جاپپەە,"
"daf koy daaneel ci suuf, gémmiñ gi","داف كوي داانەەل چي سووف, گێمميڽ گي"
"di fuur, muy yéyu, ne jàdd. Ñaan","دي فوور, موي يێيو, نە جادد. ڽاان"
"naa say taalibe, ñu dàq ko, waaye mënuñu ko.»","ناا ساي تااليبە, ڽو داق كو, واايە مێنوڽو كو.»"
"Yeesu ne leen: «Yéen niti jamono jii,","يەەسو نە لەەن: «يێەن نيتي جامونو جيي,"
"yéen ñi gëmadi, ba kañ laa war","يێەن ڽي گێمادي, با كاڽ لاا وار"
"a nekk ak yéen, ba kañ laa","ا نەكك اك يێەن, با كاڽ لاا"
leen war a muñal? Indil-leen ma xale bi.»,لەەن وار ا موڽال? ينديل-لەەن ما خالە بي.»
Ñu indil ko ko. Bi xale bi,ڽو ينديل كو كو. بي خالە بي
"gisee Yeesu nag, rab wi sayloo ko","گيسەە يەەسو ناگ, راب وي سايلوو كو"
"ci saa si, mu daanu ci suuf,","چي ساا سي, مو داانو چي سووف,"
"di xalangu, gémmiñ giy fuur.","دي خالاڠو, گێمميڽ گيي فوور."
Yeesu laaj baay bi: «Lii kañ la,يەەسو لااج بااي بي: «ليي كاڽ لا
ko dal?» Baay bi ne ko: «Li dale ci nguneem.,كو دال?» بااي بي نە كو: «لي دالە چي ڠونەەم.
"Léeg-léeg rab wi bëmëx ko ci safara,","لێەگ-لێەگ راب وي بێمێخ كو چي سافارا,"
"léeg-léeg mu bëmëx ko ci ndox, ngir","لێەگ-لێەگ مو بێمێخ كو چي ندوخ, ڠير"
"rey ko. Soo ko manee, yërëm nu te xettali nu.»","رەي كو. سوو كو مانەە, يێرێم نو تە خەتتالي نو.»"
Yeesu tontu ko: «Nga ne: “Soo ko,يەەسو تونتو كو: «ڠا نە: “سوو كو
"manee,” ku gëm man na lépp.»","مانەە,” كو گێم مان نا لێپپ.»"
Ci saa si baayu xale bi wax,چي ساا سي باايو خالە بي واخ
"ci kaw naan: «Gëm naa, dàqal ma sama ngëmadi.»","چي كاو ناان: «گێم ناا, داقال ما ساما ڠێمادي.»"
"Yeesu gis nag ne, mbooloo maa ngi","يەەسو گيس ناگ نە, مبوولوو ماا ڠي"
"daw, wërsi ko, mu daldi gëdd rab","داو, وێرسي كو, مو دالدي گێدد راب"
"wi nag ne ko: «Génnal ci moom,","وي ناگ نە كو: «گێننال چي مووم,"
"yaw rab wu luu te tëx, te","ياو راب وو لوو تە تێخ, تە"
bu ko jàppaat; wax naa la ko.»,بو كو جاپپاات; واخ ناا لا كو.»
"Noonu rab wa daldi yuuxu, sayloo xale","نوونو راب وا دالدي يووخو, سايلوو خالە"
"bi, génn. Xale bi ne nemm, mel","بي, گێنن. خالە بي نە نەمم, مەل"
"ni ku dee, ba tax ñu bare ne: «Dee na.»","ني كو دەە, با تاخ ڽو بارە نە: «دەە نا.»"
"Waaye Yeesu jàpp loxoom, jógloo ko, xale bi daldi taxaw.","واايە يەەسو جاپپ لوخووم, جۆگلوو كو, خالە بي دالدي تاخاو."
"Bi Yeesu duggee ci kër gi, taalibe","بي يەەسو دوگگەە چي كێر گي, تااليبە"
yi laaj ko ci pegg: «Lu tax,يي لااج كو چي پەگگ: «لو تاخ
mënunu ko woon a dàq?»,مێنونو كو ووون ا داق?»
Yeesu tontu leen ne: «Yu mel ni,يەەسو تونتو لەەن نە: «يو مەل ني
"yii, ñaan ci Yàlla rekk a leen di dàq.»","ييي, ڽاان چي ياللا رەكك ا لەەن دي داق.»"
"Bi loolu amee ñu jóge fa, jaar","بي لوولو امەە ڽو جۆگە فا, جاار"
"ci diiwaanu Galile, Yeesu bëggul kenn yég ko.","چي دييواانو گاليلە, يەەسو بێگگول كەنن يێگ كو."
Ndaxte muy jàngal taalibe yi ne leen:,نداختە موي جاڠال تااليبە يي نە لەەن:
«Dees na jébbal Doomu nit ki ci,«دەەس نا جێببال دوومو نيت كي چي
"loxoy nit, te dinañu ko rey, mu dekki ci ñetti fan.»","لوخوي نيت, تە ديناڽو كو رەي, مو دەككي چي ڽەتتي فان.»"
Waaye taalibe yi xamuñu lu wax joojuy,واايە تااليبە يي خاموڽو لو واخ جووجوي
"tekki, te ñemewuñu ko koo laaj.","تەككي, تە ڽەمەووڽو كو كوو لااج."
Bi nga xamee ne egg nañu dëkku,بي ڠا خامەە نە ەگگ ناڽو دێككو
"Kapernawum, te dugg ci kër gi, Yeesu","كاپەرناووم, تە دوگگ چي كێر گي, يەەسو"
laaj leen ne: «Lu ngeen doon waxtaane ci yoon wi?»,لااج لەەن نە: «لو ڠەەن دوون واختاانە چي يوون وي?»
"Waaye ñu ne cell, ndaxte ñu ngi","واايە ڽو نە چەلل, نداختە ڽو ڠي"
"fa doon werante, ba xam ku gën a màgg ci ñoom.","فا دوون وەرانتە, با خام كو گێن ا ماگگ چي ڽووم."
"Noonu Yeesu toog, woo fukki taalibe ya","نوونو يەەسو تووگ, ووو فوككي تااليبە يا"
ak ñaar ne leen: «Ku bëgg a,اك ڽاار نە لەەن: «كو بێگگ ا
"jiitu, na topp ci gannaaw ñépp te nekk surgab ñépp.»","جييتو, نا توپپ چي گاننااو ڽێپپ تە نەكك سورگاب ڽێپپ.»"
"Bi ko Yeesu waxee, mu jël xale,","بي كو يەەسو واخەە, مو جێل خالە,"
"indi ko ci biir géew gi, ba noppi leewu ko naan:","يندي كو چي بيير گێەو گي, با نوپپي لەەوو كو ناان:"
«Ku nangu xale bu mel ni bii,«كو ناڠو خالە بو مەل ني بيي
"ci sama tur, man mii nga nangu;","چي ساما تور, مان ميي ڠا ناڠو;"
"te ku ma nangu, du man mii","تە كو ما ناڠو, دو مان ميي"
sax nga nangu waaye ki ma yónni.»,ساخ ڠا ناڠو واايە كي ما يۆنني.»
Bi loolu amee Yowaana ne ko: «Kilifa,بي لوولو امەە يوواانا نە كو: «كيليفا
"gi, danoo gis nit kuy dàq ay","گي, دانوو گيس نيت كوي داق اي"
"rab ci sa tur, nu tere ko","راب چي سا تور, نو تەرە كو"
"ko, ndax li mu bokkul ci nun.»","كو, نداخ لي مو بوككول چي نون.»"
"Waaye Yeesu tontu ko: «Buleen ko tere,","واايە يەەسو تونتو كو: «بولەەن كو تەرە,"
ndaxte kenn mënul a def kéemaan ci,نداختە كەنن مێنول ا دەف كێەماان چي
"sama tur, ba noppi di ma xarab.","ساما تور, با نوپپي دي ما خاراب."
"Ku nu sotul, far na ak nun.","كو نو سوتول, فار نا اك نون."
koo xam ne kii may na leen,كوو خام نە كيي ماي نا لەەن
"kaasu ndox rekk, ndax yéena ngi bokk","كااسو ندوخ رەكك, نداخ يێەنا ڠي بوكك"
"ci man Kirist, kooku du ñàkk yoolam mukk.","چي مان كيريست, كووكو دو ڽاكك يوولام موكك."
«Waaye ku yóbbe bàkkaar kenn ci ñi,«واايە كو يۆببە باككاار كەنن چي ڽي
"gën ci moom, moo di ñu takk","گێن چي مووم, موو دي ڽو تاكك"
"doj wu réy ci baatam, sànni ko ci géej.","دوج وو رێي چي بااتام, سانني كو چي گێەج."
Boo xamee ne sa loxo mu ngi,بوو خامەە نە سا لوخو مو ڠي
"lay yóbbe bàkkaar, dagg ko. Ndaxte ñàkk","لاي يۆببە باككاار, داگگ كو. نداختە ڽاكك"
