attendu,predit,position,contexte_attendu,contexte_predit,Ajami,Wolof_attendu,Wolof_predit
i,y,8,ye lii la k,ye liy la k,واايە ليي لا كو ياللا تونتو: «دەنچال,Waaye lii la ko Yàlla tontu: «Dencal,Waaye liy la ko Yàlla tontu: «Dencal
i,y,9, buy indi m, buy yindi ,بااخ بوي يندي مبێگ مو رێي چي نيت ڽێپپ.,baax buy indi mbég mu réy ci nit ñépp.,Yaax buy yindi mbëg mu réy ci nit ñépp.
o,u,16,éetewoo ci ,éetewuw ci ,ماي وار ا فێەتەووو چي ندونو لي.”,may war a féetewoo ci ndono li.”,may war a féetewuw ci ndonu li.”
o,u,26, ndono li.”, ndonu li.”,ماي وار ا فێەتەووو چي ندونو لي.”,may war a féetewoo ci ndono li.”,may war a féetewuw ci ndonu li.”
o,u,10,ñuy rob née,ñuy rub née,فەكك ڽوي روب نێەو بوو خام نە,fekk ñuy rob néew boo xam ne,fekk ñuy rub néew boo xam ne
o,u,21,askanoo ci ,askanuo ci ,"ساراخالەكات, يا اسكانوو چي ابييا. جابارام ەليسابەت","saraxalekat, ya askanoo ci Abiya. Jabaram Elisabet","saraxalekat, ya askanuo ci abiia. Jabaram Elisabet"
y,i,30,i Abiya. Ja,i abiia. Ja,"ساراخالەكات, يا اسكانوو چي ابييا. جابارام ەليسابەت","saraxalekat, ya askanoo ci Abiya. Jabaram Elisabet","saraxalekat, ya askanuo ci abiia. Jabaram Elisabet"
u,o,44, jubluwu ko,jubloo ko f,"نداختە خام نانو نە, تارييخا بووبا, كەنن جوبلووو كو فەنن.»","ndaxte xam nanu ne, tariixa booba, kenn jubluwu ko fenn.»","yànte xam nanu ne, tariixa booba, kenn jubloo ko fenn.»"
i,y,17, luy indil , luy yidil ,سوو دەە لەكك لوي ينديل سا مورووم,Soo dee lekk luy indil sa moroom,soo dee lekk luy yidil sa moroom
o,u,11,warunoo yem,warunuo yem,واايە وارونوو يەمالە تووڽو ااداما اك مايو,Waaye warunoo yemale tooñu Aadama ak mayu,waaye warunuo yemale tooñu aadama ak mayu
o,u,6,oppatoo,oppatuo,توپپاتوو,toppatoo,toppatuo
o,u,42, ne doj wa , ne duj wa ,"رێي-ا-رێي لا ووون. نوونو ڽو خوول, گيس نە دوج وا دەڽ.","réy-a-réy la woon. Noonu ñu xool, gis ne doj wa deñ.","réy-a-réy la woon. Noonu ñu xool, gis ne duj wa deñ."
y,i,23,"skariyo de,",Iskariyu de,"يوداا --دو يوداا يسكارييو دە, بەنەەن لا","Yudaa --du Yudaa Iskariyo de, beneen la","Yuddaa --du Yudaa Iskariyu de, beneen la"
o,u,1,bon lay,bun lay,"بون لاي واخ, جێلە كو چا فا مو دەنچ لو بون.","bon lay wax, jële ko ca fa mu denc lu bon.","bun lay wax, jële ko ca fa mu denc lu bon."
o,u,1,xobi,xubi,خوبي,xobi,xubi
i,y,22,ye lii am n,ye liy am n,"جاپپولەەن ما. واايە ليي ام نا, ڠير مبيند مي ام.»","jàppuleen ma. Waaye lii am na, ngir Mbind mi am.»","yàppuleen ma. Waaye liy am na, ngir mbind mi am.»"
i,y,20,oj wii mu n,oj wiy mu n,"ياللا, سانتال دوج ويي مو نەكك مبورو.»","Yàlla, santal doj wii mu nekk mburu.»","yalla, santal doj wiy mu nekk mburu.»"
o,u,12,"Nikanor, Ti","nikanur, ti","تەگ چا نيكانور, تيمون, پارمەناس اك نيكولاس,","teg ca Nikanor, Timon, Parmenas ak Nikolas,","Teg ca nikanur, timon, parmenas ak nikulas,"
o,u,38,"k Nikolas,","k nikulas,","تەگ چا نيكانور, تيمون, پارمەناس اك نيكولاس,","teg ca Nikanor, Timon, Parmenas ak Nikolas,","Teg ca nikanur, timon, parmenas ak nikulas,"
o,u,16, ni ko yoon, ni ku yoon,"ڽو نوپپالو, ني كو يوون وي سانتاانەە.","ñu noppalu, ni ko yoon wi santaanee.","ñu noppalu, ni ku yoon wi santaanee."
i,y,19,am bii mu y,am biy mu y,"جێلە, تە خام-خام بيي مو يور, لو","jële, te xam-xam bii mu yor, lu","jële, te xam-xam biy mu yur, lu"
o,u,25," mu yor, lu"," mu yur, lu","جێلە, تە خام-خام بيي مو يور, لو","jële, te xam-xam bii mu yor, lu","jële, te xam-xam biy mu yur, lu"
o,u,10,akk ko ci b,akk ku ci b,"چا, تاكك كو چي بانتو گاراب گو","ca, takk ko ci bantu garab gu","ca, takk ku ci bantu garab gu"
o,u,17, ne ko jàkk, ne ku jàkk,"نوونو كورنەي نە كو جاكك, دالدي تييت","Noonu Korney ne ko jàkk, daldi tiit","Noonu korney ne ku jàkk, daldi tiit"
o,u,23, li sonalee, li sunalee,واايە بي نو ڠەلاو لي سونالەە بو,Waaye bi nu ngelaw li sonalee bu,Waaye bi nu ngelaw li sunalee bu
o,u,16," nangou."""," nanguu.""","""وااو, داما ناڠوو.""","""Waaw, dama nangou.""","""Waaw, dama nanguu."""
o,u,11,kat loraang,kat luraaŋg,"لێەگي كات لورااڠەە ڠي نوي يووت, تە","Léegi kat loraangee ngi nuy yoot, te","léegi kat luraaŋgee ngi nuy yoot, te"
i,y,10,iy liit ak ,iy liyt ak ,"گيس ڽيي لييت اك توخورو, اك مبوولوو","gis ñiy liit ak toxoro, ak mbooloo","gis ñiy liyt ak toxoru, ak mbooloo"
o,u,21,"toxoro, ak ","toxoru, ak ","گيس ڽيي لييت اك توخورو, اك مبوولوو","gis ñiy liit ak toxoro, ak mbooloo","gis ñiy liyt ak toxoru, ak mbooloo"
o,u,9,wax ko kem ,wax ku kem ,ڠا واخ كو كەم سا ڠێم;,nga wax ko kem sa ngëm;,nga wax ku kem sa ngëm;
i,y,12,"i, biiñ bi ","i, biyñ bi ","مبووس يي, بييڽ بي توورو, مبووس يي ياقو.","mbuus yi, biiñ bi tuuru, mbuus yi yàqu.","mbuus yi, biyñ bi tuuru, mbuus yi yàqu."
u,o,1,wu bare,wo bare,"وو بارە, تە اتتە لەەن جوب چي دارا فا كانامام.","wu bare, te àtte leen jub ci dara fa kanamam.","wo bare, te àtte leen jub ci dara fa kanamam."
i,y,3,«Kii nee ,«Kiy nee ,«كيي نەە ووون نا: “مان ناا توج,«Kii nee woon na: “Man naa toj,«Kiy nee woon na: “Man naa toj
o,u,15, du doy ngi, du duy ngi,“لي نو يور دو دوي ڠير نون,“Li nu yor du doy ngir nun,“Li nu yor du duy ngir nun
y,i,31,"nt,biy màgg","nt,bii màgg","يۆببو ڠەەن ساخ فو نەكك تانت,بيي ماگگالوكاايو","Yóbbu ngeen sax fu nekk tànt,biy màggalukaayu","yóbbu ngeen sax fu nekk tànt,bii màggalukaayu"
o,u,5,jamono dina,jamonu dina,جامونو دينا ڽێو تە اگسي نا با,jamono dina ñëw te agsi na ba,jamonu dina ñëw te agsi na ba
u,o,4,Fatou maa ,Fatoo maa ,فاتوو ماا ڠي جاڠ وولوف,Fatou maa ngi jàng wolof,Fatoo maa ngi jàng wolof
i,y,2,miikaayi,miykaayi,مييكااييل,miikaayil,miykaayil
o,u,27," ko moy,"," ko muy,","دينا كو ينديل جامم. لو كو موي,","dina ko indil jàmm. Lu ko moy,","dina ko indil jàmm. Lu ko muy,"
o,u,1,ko gise,ku gise,"كو گيسە, موي دەم اساماان.»","ko gise, muy dem asamaan.»","ku gise, muy dem asamaan.»"
o,u,1,Sonnoon,Sunnuon,سوننوون نا لوول چي لوخوي فاجكات يو,Sonnoon na lool ci loxoy fajkat yu,Sunnuon na lool ci loxoy fajkat yu
o,u,4,Sonnoon na,Sunnuon na,سوننوون نا لوول چي لوخوي فاجكات يو,Sonnoon na lool ci loxoy fajkat yu,Sunnuon na lool ci loxoy fajkat yu
o,u,18,enc ko ci x,enc ku ci x,كاددو گي تە دەنچ كو چي خول,kàddu gi te denc ko ci xol,kàddu gi te denc ku ci xol
i,y,2,miin,miyn,ميين,miin,miyn
o,u,1,jolli n,yulli n,"جوللي نا چي ڽەەنتي خەبلا يێپپ,سەەن واخ وێر نا اددينا سێپپ.»","jolli na ci ñeenti xebla yépp,seen wax wër na àddina sépp.»","yulli na ci ñeenti xebla yépp,seen wax wér na dàddina addina sépp.»"
o,u,17,yaa koy teg,yaa kuy teg,"چي نجاالوو, ياا كوي تەگتال يوونو نجاالوو.","ci njaaloo, yaa koy tegtal yoonu njaaloo.","ci njaaloo, yaa kuy tegtal yoonu njaaloo."
o,u,15,unu mos dar,unu Mus dar,"نانو نە, دونو موس دارا, با كەرا نوي رەي پوول.","nanu ne, dunu mos dara, ba kera nuy rey Pool.","yanu ne, dunu Mus dara, ba kera nuy rey pool."
o,u,26,"Tarakonit, ","tarakunit, ","دييواانو يتورە اك بو تاراكونيت, تە ليساڽاس ييليف ابيلەن.","diiwaanu Iture ak bu Tarakonit, te Lisañas yilif Abilen.","Yiiwaanu iture ak bu tarakunit, te lisañas yilif abilef."
o,u,2,avons,awuns,اڤونس,avons,awuns
o,u,34, dégloo, dégluw,"سەەتلەەن بو بااخ, ني ڠەەن دي دێگلوو","Seetleen bu baax, ni ngeen di dégloo","seetleen bu baax, ni ngeen di dégluw"
i,y,36,ne yii am n,ne yiy am n,"ا تەگ بەنەەن يەن, لو دول دێنكاانە ييي ام نجاريڽ,","a teg beneen yen, lu dul dénkaane yii am njariñ,","a teg beneen yen, lu dul dënkaane yiy am njariñ,"
o,u,13,opp ko fu s,opp ku fu s,"پييەەر توپپ كو فو سورە, با چي","Piyeer topp ko fu sore, ba ci","Piyeer topp ku fu sore, ba ci"
u,o,24,ne kou bakh,ne koo bàkk,ماڠي لاي ڽاانال يەنە كوو باكه اك جامم.,Mangi lay ñaanal yene kou bakh ak jamm.,màngi lay ñaanal yene koo bàkk ak jàmm.
u,o,1,buumam.,boomam.,"بوومام. لێەگي ناگ نو ڠي جاامو ياللا,","buumam. Léegi nag nu ngi jaamu Yàlla,","boomam. Léegi nag nu ngi jaamu Yàlla,"
u,o,2,buumam. ,boomam. ,"بوومام. لێەگي ناگ نو ڠي جاامو ياللا,","buumam. Léegi nag nu ngi jaamu Yàlla,","boomam. Léegi nag nu ngi jaamu Yàlla,"
y,i,31,"i milyoŋ,","i miliwŋ,","كەنن كا, مو دێنك كو جورۆومي ميليوڠ,","Kenn ka, mu dénk ko juróomi milyoŋ,","kenn ka, mu dénk ko juróomi miliwŋ,"
u,o,37, séenuwul.», séenooul.»,كي دينا ڽێو چي واختو وو ڠەەن كو سێەنووول.»,ki dina ñëw ci waxtu wu ngeen ko séenuwul.»,yi dina ñëw ci waxtu wu ngeen ko séenooul.»
o,u,14,lif ko moom,lif ku moom,"مي, مو ييليف كو مووم اك اسكانام, فەكك بووبا اماگول دووم.","mi, mu yilif ko moom ak askanam, fekk booba amagul doom.","mi, mu yilif ku moom ak askanam, fekk booba amagul doom."
o,u,17, di sore Ye, di sure Ye,"بي نيت ڽووڽو دي سورە يەەسو, پييەەر","Bi nit ñooñu di sore Yeesu, Piyeer","Bi nit ñooñu di sure Yeesu, Piyeer"
i,y,16,ngir indi s,ngir yidi s,«داماا ڽێو ڠير يندي سافارا سي چي,«Damaa ñëw ngir indi safara si ci,«Damaa ñëw ngir yidi safara si ci
i,y,27,ax miir.,ax Miyr.,ندابب لو خەەڽ لو ڽوي واخ ميير.,ndàbb lu xeeñ lu ñuy wax miir.,Ndàbb lu xeeñ lu ñuy wax Miyr.
o,u,40,"aw, loo teg","a , lu teg ","ماگگ? يونەنت يي يتام فااتو ناڽو. وااو, لوو تەگ سا بوپپ?»","màgg? Yonent yi itam faatu nañu. Waaw, loo teg sa bopp?»","yàgg? yonent yi itam faatu nañu. Woa , lu teg sa bopp?»"
o,u,7,fewuko,fewuku,دەفەووكو,defewuko,defewuku
o,u,1,foñ,fuñ,فوڽ,foñ,fuñ
o,u,26,ëgg ñoñam,ëgg ñuñam,"بااي با, جوت نا. كو بێگگ ڽوڽام","Baay ba, jot na. Ku bëgg ñoñam","baay ba, jot na. Ku bëgg ñuñam"
u,o,1,muuma,mooma,مووما,muuma,mooma
u,o,2,muuma,mooma,مووما,muuma,mooma
o,u,11,jam ko ko c,jam ku ko c,"خەەج, جام كو كو چي وەت, چا","xeej, jam ko ko ci wet, ca","xeej, jam ku ko ci wet, ca"
o,u,18,"bi, soo ko ","bi, suu ko ","نە كو: «ساڠ بي, سوو كو بێگگەە, مان ڠا ماا فاج.»","ne ko: «Sang bi, soo ko bëggee, man nga maa faj.»","ye ko: «Sang bi, suu ko bëggee, man nga maa faj.»"
o,u,19,"i, soo ko b","i, suu ko b","نە كو: «ساڠ بي, سوو كو بێگگەە, مان ڠا ماا فاج.»","ne ko: «Sang bi, soo ko bëggee, man nga maa faj.»","ye ko: «Sang bi, suu ko bëggee, man nga maa faj.»"
o,u,25, ci yoor-yo, ci yuur-yo,"فووگە, نداختە نو ڠي چي يوور-يوور رەكك.","fooge, ndaxte nu ngi ci yoor-yoor rekk.","fooge, ndaxte nu ngi ci yuur-yoor rekk."
o,u,26,ci yoor-yoo,ci yuur-yoo,"فووگە, نداختە نو ڠي چي يوور-يوور رەكك.","fooge, ndaxte nu ngi ci yoor-yoor rekk.","fooge, ndaxte nu ngi ci yuur-yoor rekk."
o,u,1,Molog a,Mullug ,"مولوگ اك بيددييووب رەفان,بي ڽو داان بوككاالەەل","Molog ak biddiiwub Refan,bi ñu daan bokkaaleel","Mullug ak biddiiwub refan,bi ñu daan bokkaaleel"
u,o,1,yumi,yomi,يومي,yumi,yomi
i,y,24,ul; kiy jàn,l; kiy jàng,"بێراب بو مو يەللوووول; كيي جاڠ, نا","bérab bu mu yelloowul; kiy jàng, na","bérab bu mu yellooul; kiy jàng, na"
o,u,1,ko dugg,ku dugg,"كو دوگگال چيگ كامب, واللا دي چي","ko duggal cig kàmb, walla di ci","ku duggal cig kàmb, walla di ci"
o,u,20, bi dogal c, bi dugal c,"اك ساا, يي بااي بي دوگال چي","ak saa, yi Baay bi dogal ci","ak saa, yi baay bi dugal ci"
o,u,26,épp sorelee,épp surelee,"فو ڠەەن بوكك. يێەن ڽێپپ سورەلەەن ما, دەفكاتي لو بون يي!”","fu ngeen bokk. Yéen ñépp soreleen ma, defkati lu bon yi!”","fu ngeen bokk. Yéen ñépp sureleen ma, defkati lu bon yi!”"
i,y,39, tax indiwu, tax yidool,يا اك فاريسەن يا لااج لەەن نە: «لو تاخ ينديوولەەن كو?»,ya ak Farisen ya laaj leen ne: «Lu tax indiwuleen ko?»,ya ak Farisen ya laaj leen ne: «Lu tax yidooleen ko?»
u,o,1,yum,yom,يوم,yum,yom
o,u,21,ne ndogalu ,ne ndugalu ,"واايە بو فەككەە نە ندوگالو ياللا لا,","Waaye bu fekkee ne ndogalu Yàlla la,","Waaye bu fekkee ne ndugalu Yàlla la,"
o,u,6,oon wottu a,oon wuttu a,دوون ووتتو الالو ەرودد; اك سوسانن اك,doon wottu alalu Erodd; ak Susànn ak,doon wuttu alalu Erodd; ak sosann ak
u,o,28, ak Susànn , ak sosann ,دوون ووتتو الالو ەرودد; اك سوسانن اك,doon wottu alalu Erodd; ak Susànn ak,doon wuttu alalu Erodd; ak sosann ak
o,u,6,"eebaroon, b","eebaruon, b","فەەباروون, باي بێگگ ا دەە.","feebaroon, bay bëgg a dee.","feebaruon, bay bëgg a dee."
u,o,20, ca xutbaka, ca xotbaka,"دالدي جيب. ڽەنن چا خوتباكات, يا بوكك","daldi jib. Ñenn ca xutbakat, ya bokk","daldi jib. Ñenn ca xotbakat, ya bokk"
o,u,1,jombaat,jumbaat,جومبااتە,jombaate,jumbaate
o,u,38, mu sore se, mu sure se,"چي كاو لوولو ڽو دالدي ڽاان يەەسو, مو سورە سەەن رێەو.","Ci kaw loolu ñu daldi ñaan Yeesu, mu sore seen réew.","ci kaw loolu ñu daldi ñaan yeesu, mu sure seen.réew."
o,u,22, di sonal., di sunal.,تە ڽاانال ڽي لەەن دي سونال.,te ñaanal ñi leen di sonal.,te ñaanal ñi leen di sunal.
o,u,26,waa Korasin,waa Kurasin,"«ديڠەەن توروخ, يێەن واا كوراسين اك واا","«Dingeen torox, yéen waa Korasin ak waa","«Dingeen torox, yéen waa Kurasin ak waa"
o,u,14,sëf ko bant,sëf ku bant,"توول يا, سێف كو بانت, با ڽوي","tool ya, sëf ko bant, ba ñuy","tool ya, sëf ku bant, ba ñuy"
o,u,37,"in, doy","in, duy","بو تااليبە يەمەە اك كيليفاام دەمين, دوي","Bu taalibe yemee ak kilifaam demin, doy","Bu taalibe yemee ak kilifaam demin, duy"
o,u,6,een ko defa,een ku defa,لەەن كو دەفال; نداختە لوولو موو ێمب,leen ko defal; ndaxte loolu moo ëmb,leen ku defal; ndaxte loolu moo ëmb
o,u,25,"nte tooñ, w","nte tuuñ, w","كون نانو باييەە تەگانتە تووڽ, واايە نو","Kon nanu bàyyee tegante tooñ, waaye nu","kon nanu bàyyee tegante tuuñ, waaye nu"
o,u,26,"te tooñ, wa","te tuuñ, wa","كون نانو باييەە تەگانتە تووڽ, واايە نو","Kon nanu bàyyee tegante tooñ, waaye nu","kon nanu bàyyee tegante tuuñ, waaye nu"
o,u,29,ekk ko,ekk ku,چا گاننااو ێللێگ سا ڽو فەكك كو,Ca gannaaw ëllëg sa ñu fekk ko,ca gannaaw ëllëg sa ñu fekk ku
u,o,15, ci kureelu, ci koreelu,لي ما يندي چي كورەەلو اتتەكات ييي,Li ma indi ci kureelu àttekat yii,li ma indi ci koreelu àttekat yiy
i,y,32,at yii,at yiy,لي ما يندي چي كورەەلو اتتەكات ييي,Li ma indi ci kureelu àttekat yii,li ma indi ci koreelu àttekat yiy
o,u,14,teg ko ni k,teg ku ni k,"ناگ, ڠا تەگ كو ني كو گێمول ياللا مباا اب جووتيكات.","nag, nga teg ko ni ku gëmul Yàlla mbaa ab juutikat.","yag, nga teg ku ni ko gëmul Yàlla mbaa ab juutikat."
u,o,20, ni ku gëmu, ni ko gëmu,"ناگ, ڠا تەگ كو ني كو گێمول ياللا مباا اب جووتيكات.","nag, nga teg ko ni ku gëmul Yàlla mbaa ab juutikat.","yag, nga teg ku ni ko gëmul Yàlla mbaa ab juutikat."
u,o,3,a tuuti c,a tooti c,ا تووتي چي جيوو يێپپ;,a tuuti ci jiwu yépp;,a tooti ci jiwu yépp;
u,o,4,a tuuti ci,a tooti ci,ا تووتي چي جيوو يێپپ;,a tuuti ci jiwu yépp;,a tooti ci jiwu yépp;
i,y,6,"ëb mii, nda","ëb miy, nda","رێب ميي, نداختە امول دارا لو كو وارال.»","rëb mii, ndaxte amul dara lu ko waral.»","rëb miy, ndaxte amul dara lu ko waral.»"
u,o,21, di ñurumto, di ñoromto,"ياووت يا تامبالي دي ڽورومتوو يەەسو, نداختە","Yawut ya tàmbali di ñurumtoo Yeesu, ndaxte","yawut ya tàmbali di ñoromtoo yeesu, ndaxte"
u,o,23,i ñurumtoo ,i ñoromtoo ,"ياووت يا تامبالي دي ڽورومتوو يەەسو, نداختە","Yawut ya tàmbali di ñurumtoo Yeesu, ndaxte","yawut ya tàmbali di ñoromtoo yeesu, ndaxte"
o,u,12,tam sog a d,tam sug a d,يەەسو يتام سوگ ا دەم تە كەنن يێگو كو; سييوالول دەمام.,Yeesu itam sog a dem te kenn yégu ko; siiwalul demam.,Yeesu itam sug a dem te kenn yégu ko; Siiwalul demam.
u,o,42,eer Pusol.,eer posul.,"دالدي جۆگ, تە چا ڽاارەەلو فان با نو تەەر پوسول.","daldi jóg, te ca ñaareelu fan ba nu teer Pusol.","Yàldi jóg, te ca ñaareelu fan ba nu teer posul."
o,u,44,r Pusol.,r posul.,"دالدي جۆگ, تە چا ڽاارەەلو فان با نو تەەر پوسول.","daldi jóg, te ca ñaareelu fan ba nu teer Pusol.","Yàldi jóg, te ca ñaareelu fan ba nu teer posul."
u,o,1,surga b,sorga b,سورگا بو بااخ ڠا تە تاككو. گاننااو,surga bu baax nga te takku. Gannaaw,sorga bu baax nga te takku. Gannaaw
o,u,1,jortoon,jurtoon,جورتوون,jortoon,jurtoon
i,y,4,aw yiw; mu,waw yiw; m,او ييو; مو ڠي اك ياو.»,aw yiw; mu ngi ak yaw.»,waw yiw; mu ngi ak yaw.»
i,y,20,éy yii.»,éy yiy.»,مبير يو گێن ا رێي ييي.»,mbir yu gën a réy yii.»,mbir yu gën a réy yiy.»
o,u,4,jàngoro yi,jànguru yi,"جاڠورو يي دي لەەن باييي, راب ياي گێنن چي ڽووم.","jàngoro yi di leen bàyyi, rab yay génn ci ñoom.","jànguru yi di leen bàyyi, rab yay génn ci ñoom."
o,u,6,àngoro yi d,ànguru yi d,"جاڠورو يي دي لەەن باييي, راب ياي گێنن چي ڽووم.","jàngoro yi di leen bàyyi, rab yay génn ci ñoom.","jànguru yi di leen bàyyi, rab yay génn ci ñoom."
u,o,14, di ku yeew, di ko yeew,موساا ناگ دي كو يەەوو چي خام-خامو,Musaa nag di ku yeewu ci xam-xamu,Musaa nag di ko yeewu ci xam-xamu
u,o,31, ca kureelu, ca koreelu,يودە. يووسوفاا ڠا بوككوون چا كورەەلو اتتەكات,Yude. Yuusufaa nga bokkoon ca kureelu àttekat,Yude. Yuusufaa nga bokkoon ca koreelu àttekat
u,o,3,fasuwoon,fasooun,فاسوووون,fasuwoon,fasooun
o,u,5,fasuwoon,fasooun,فاسوووون,fasuwoon,fasooun
i,y,12,ag ñii ñoo ,ag ñiy ñoo ,بووبا ناگ ڽيي ڽوو اند اك مووم:,Booba nag ñii ñoo ànd ak moom:,booba nag ñiy ñoo and ak moom:
o,u,1,loosam,luusam,لووسام,loosam,luusam
o,u,2,loosam,luusam,لووسام,loosam,luusam
y,i,30,; Yulyus,; Yuliws,چا ێللێگ سا نو تەەر سيدون; يوليوس,Ca ëllëg sa nu teer Sidon; Yulyus,ca ëllëg sa nu teer sidon; Yuliws
i,y,7,nu biir! Yà,nu biyr! Yà,سونو بيير! ياللا واللوسي نا مبوولووم!»,sunu biir! Yàlla wallusi na mbooloom!»,Yunu biyr! Yàlla wàllusi na mbooloom!»
o,u,9,"k sago, nu ","k sagu, nu ","مي اك ساگو, نو دێنك لەەن ليگگێەي بيي.","mi ak sago, nu dénk leen liggéey bii.","mi ak sagu, nu dénk leen liggéey bii."
o,u,27, ya dogu ci, ya dugu ci,كەرووگ لا نجييتي ياووت يا دوگو چي رەي يەەسو.,Keroog la njiiti Yawut ya dogu ci rey Yeesu.,keroog la njiiti yawut ya dugu ci rey Yeesu.
i,y,5,"ay liir, ng","ay liyr, ng","اي ليير, ڠير مو تەگ لەەن اي","ay liir, ngir mu teg leen ay","ay liyr, ngir mu teg leen ay"
u,o,17,fee ku tudd,fee ko tudd,«بي ما كو دەفەە كو تودد اناڽاس,«Bi ma ko defee ku tudd Anañas,«Bi ma ko defee ko tudd anañas
u,o,4,ñu summi m,Ñu sommi m,"ڽو سوممي مبوبب مو خونق مي, سولااتال","ñu summi mbubb mu xonq mi, solaatal","Ñu sommi mbubb mu xonq mi, sulaatal"
o,u,28,"mi, solaata","mi, sulaata","ڽو سوممي مبوبب مو خونق مي, سولااتال","ñu summi mbubb mu xonq mi, solaatal","Ñu sommi mbubb mu xonq mi, sulaatal"
u,o,43,eni xutbaka,eni xotbaka,نداختە جاڠال نا لەەن اك ساڽ-ساڽ بو سەەني خوتباكات امول.,ndaxte jàngal na leen ak sañ-sañ bu seeni xutbakat amul.,Ndaxte jàngal na leen ak sañ-sañ bu seeni xotbakat amul.
u,o,11,nangou dem ,nangoo dem ,ناڠا ناڠوو دەم اك مان.,Nanga nangou dem ak man.,nanga nangoo dem ak man.
o,u,22,ama koy wax,ama kuy wax,"ما دێگلو, واايە داما كوي واخ, ڠير","ma déglu, waaye dama koy wax, ngir","ma déglu, waaye dama kuy wax, ngir"
o,u,29,n a wodd?,n a wudd?,"تاال بي, نداخ دو لەەن گێن ا وودد?","taal bi, ndax du leen gën a wodd?","taal bi, ndax du leen gën a wudd?"
u,o,38," ni ku jub,"," ni ko jub,","يوونو موساا تێلە ووون ا اتتەە نيت ني كو جوب,","yoonu Musaa tële woon a àttee nit ni ku jub,","yoonu Musaa tële woon a àttee nit ni ko jub,"
o,u,17,ama koy wax,ama kuy wax,"لي ما واخ, داما كوي واخ, ني","li ma wax, dama koy wax, ni","li ma wax, dama kuy wax, ni"
u,o,24,i solu Yuda,i solo yuda,"نوونو سەيتاانە دالدي سولو يوداا, مي ڽوي","Noonu Seytaane daldi solu Yudaa, mi ñuy","Noonu seytaane daldi solo yudaa, mi ñuy"
o,u,3,melokaani,melukaani,مەلوكااني,melokaani,melukaani
u,o,20,"raxasuwul, ","raxasooul, ","گيسەە نە يەەسو راخاسووول, لااتا موي لەكك.","gisee ne Yeesu raxasuwul, laata muy lekk.","gisee ne Yeesu raxasooul, laata muy lekk."
u,o,41,l a suul ke,l a sool ke,بووبا اموون نا فا باممەەل بو ڽو موسول ا سوول كەنن.,booba amoon na fa bàmmeel bu ñu musul a suul kenn.,Booba amoon na fa bàmmeel bu ñu musul a sool kenn.
u,o,42, a suul ken, a sool ken,بووبا اموون نا فا باممەەل بو ڽو موسول ا سوول كەنن.,booba amoon na fa bàmmeel bu ñu musul a suul kenn.,Booba amoon na fa bàmmeel bu ñu musul a sool kenn.
o,u,26, ya dogale , ya dugale ,"ڽو گيسەە نيت, كا ساچچ يا دوگالە ووون?»","ñu gisee nit, ka sàcc ya dogale woon?»","ñu gisee nit, ka sàcc ya dugale woon?»"
u,o,1,wuuteek,wooteek,وووتەەك,wuuteek,wooteek
u,o,2,wuuteek,wooteek,وووتەەك,wuuteek,wooteek
u,o,1,duun,doon,دوون,duun,doon
u,o,2,duun,doon,دوون,duun,doon
y,i,12,"i milyoŋ, s","i milioŋ, s","ما ڽااري ميليوڠ, سەەتال, امە ناا چي يەنەەن ڽاار.”","ma ñaari milyoŋ, seetal, ame naa ci yeneen ñaar.”","ma ñaari milioŋ, seetal, ame naa ci yeneen ñaar.”"
o,u,34,teg ko,teg ku,"خوتباكات يا. ديناڽو كو اتتە, تەگ كو","xutbakat ya. Dinañu ko àtte, teg ko","xutbakat ya. Dinañu ko àtte, teg ku"
i,y,4,Léegi nag ,léeeyi nag,لێەگي ناگ يێەنا ڠي ماي ووت ا,Léegi nag yéena ngi may wut a,léeeyi nag yéena ngi may wut a
o,u,23,"ol, Sool, l","ol, suul, l","باات بو ما نە: “سوول, سوول, لو","baat bu ma ne: “Sool, Sool, lu","Baat bu ma ne: “Sool, suul, lu"
o,u,24,"l, Sool, lu","l, suul, lu","باات بو ما نە: “سوول, سوول, لو","baat bu ma ne: “Sool, Sool, lu","Baat bu ma ne: “Sool, suul, lu"
o,u,24, wu sol mbu, wu sul mbu,"ندەيجوور واخامباانە وو سول مبوبب مو وەەخ, ڽو دالدي تييت.","ndeyjoor waxambaane wu sol mbubb mu weex, ñu daldi tiit.","ndeyjoor waxambaane wu sul mbubb mu weex, ñu daldi tiit."
u,o,17, Fatou., fàtoo.,ماا ڠي تودد فاتوو.,Maa ngi tudd Fatou.,maa ngi tudd fàtoo.
u,o,1,Ku leen,ko leen,"كو لەەن فيتناال, ڽاانال-لەەن كو ييو, تە باڽ كوو مۆولو.","Ku leen fitnaal, ñaanal-leen ko yiw, te bañ koo móolu.","ko leen fitnaal, ñaanal-leen ko yiw, te bañ koo móolu."
o,u,21, bi dogal c, bi dugal c,"نداختە لي بورووم بي دوگال چي اددينا,دينا","Ndaxte li Boroom bi dogal ci àddina,dina","Ndaxte li boroom bi dugal ci àddina,dina"
o,u,13, ku ko gëm., ku ku gëm.,جوب كێپپ كو كو گێم.,jub képp ku ko gëm.,jub képp ku ku gëm.
