id,Ajami,Wolof_attendu,Wolof_predit,category,operations
176,"ڽو لاال چاتي مبوببام رەكك, تە كو كو لاال دالدي وێر.","ñu laal cati mbubbam rekk, te ku ko laal daldi wér.","Ñu laal cati mbubbam rekk, te ku ko laal daldi wér.",Majuscule / minuscule,replace
177,ماڠي ليگگەەي مان.,Mangi liggeey man.,màngi liggeey man.,Diacritique / accent,replace
178,"دال. ڽوو دوون پييەەر اك يوواانا, سااگ","dal. Ñoo doon Piyeer ak Yowaana, Saag","dal. Ñoo doon Piyeer ak Yowaana, saag",Majuscule / minuscule,replace
179,لي دالە چي ساا سووسا ناگ يوداا,Li dale ci saa soosa nag Yudaa,li dale ci saa suusa nag yudaa,Substitution,replace | replace | replace
180,ندەگام,ndegam,Nddggam,Duplication / répétition,replace | replace
181,"با تەي نيت ڽي جۆگە فو نەكك, دي كو فا فەكك.","Ba tey nit ñi jóge fu nekk, di ko fa fekk.","ba tey nit ñi jóge fu nekk, di ko fa fekk.",Majuscule / minuscule,replace
182,دي دێگگال نە لوولو وۆور نا.,di dëggal ne loolu wóor na.,di déggal ne loolu wóor na.,Diacritique / accent,replace
183,كان موو لەەن مان ا تەگ تووڽ?,Kan moo leen man a teg tooñ?,kan moo leen man a teg tooñ?,Majuscule / minuscule,replace
184,يەي نا سادوسەن يا. كون ناگ ڽو دالدي داجە.,yey na Sadusen ya. Kon nag ñu daldi daje.,yey na sadusen ya. Kon nag ñu daldi daje.,Majuscule / minuscule,replace
185,چي ڽااري دێرێم? موونا ياللا فاتتەوول بەنن چي ڽووم.,ci ñaari dërëm? Moona Yàlla fàttewul benn ci ñoom.,ci ñaari dërëm? Moona Yàlla fattewul benn ci ñoom.,Diacritique / accent,replace
186,چا ساا سووسو خەل مو سەلل مي,Ca saa soosu Xel mu Sell mi,ca saa suusu xel mu Sell mi,Substitution,replace | replace | replace
187,"تاابالي وەچچيكاتو خااليس يي اك تووگوي جاايكاتي پيتاخ يي,","taabali weccikatu xaalis yi ak tooguy jaaykati pitax yi,","Taabali weccikatu xaalis yi ak tooguy jaaykati pitax yi,",Majuscule / minuscule,replace
188,"مو بايييل لەەن كي ڽو كو ڽاانوون,","Mu bàyyil leen ki ñu ko ñaanoon,","mu bàyyil leen ki ñu ko ñaanoon,",Majuscule / minuscule,replace
189,بو رافەت بو دەموون چي رێەو مو,bu rafet bu demoon ci réew mu,Bu rafet bu demoon ci réew mu,Majuscule / minuscule,replace
190,نوونوو,noonoo,Noonuo,Erreur multiple / combinaison,replace | insert | delete
191,بێگگ ناا بااي بي تە ني ما,bëgg naa Baay bi te ni ma,bëgg naa baay bi te ni ma,Majuscule / minuscule,replace
192,واللا مو دي كو دەف چي رون,walla mu di ko def ci ron,walla mu di ko def ci run,Substitution,replace
193,جيبريل ميي تاخاو چي كانام ياللا. داڽو,Jibril miy taxaw ci kanam Yàlla. Dañu,jibril miy taxaw ci kanam Yàlla. Dañu,Majuscule / minuscule,replace
194,"""وااو, داما ام مبێگتە.""","""Waaw, dama am mbégte.""","""Waaw, dama am mbëgte.""",Diacritique / accent,replace
195,"يەدد كو. بو رێچچوو, باال كو.","yedd ko. Bu réccoo, baal ko.","Yedd ko. Bu rëccoo, baal ko.",Diacritique / accent,replace | replace
196,ڽو بيند چي اللووا بي.,Ñu bind ci alluwa bi.,Ñu bind ci àlluwa bi.,Diacritique / accent,replace
197,"تە بي نوي دەم, ڽو جوخ نو لي نوي سوخلا لێپپ.","te bi nuy dem, ñu jox nu li nuy soxla lépp.","Ye bi nuy dem, ñu jox nu li noy soxla lépp.",Substitution,replace | replace
198,فەكك پييەەر دي گێن ا فێگگ. نوونو,Fekk Piyeer di gën a fëgg. Noonu,fekk Piyeer di gën a fëgg..Noonu,Substitution,replace | replace
199,ناكا نوونا پوول اك ڽي مو اندال,Naka noona Pool ak ñi mu àndal,Naka noona Pool ak ñi mu andal,Diacritique / accent,replace
200,تيڤاووانە مووي دێكك بو جامم,Tivaouane mooy dëkk bu jàmm,tiiaawunae mooy dëkk bu jàmm,Erreur multiple / combinaison,replace | replace | replace | insert | delete
201,يو مو وار ا دێككو ڠير ساما تور.»,yu mu war a dékku ngir sama tur.»,yu mu war a dëkku ngir sama tur.»,Diacritique / accent,replace
202,ناتتوووولەەن,nattuwooleen,àttuwuleen,Substitution,replace | replace
203,"چا جامونوي ەرودد, مي نەككوون بوور چا","Ca jamonoy Erodd, mi nekkoon buur ca","ca jamonoy Erodd, mi nekkoon buur ca",Majuscule / minuscule,replace
204,نيرۆولە,niróole,inróole,Erreur multiple / combinaison,insert | delete
205,"چي ياو, نداختە راڽڽەەووو جامونو جي ياللا ڽێوە, واللوسي لا.»","ci yaw, ndaxte ràññeewoo jamono ji Yàlla ñëwe, wallusi la.»","yi yaw, ndaxte raññeewuw jamono ji Yàlla ñëwe, wallusi la.»",Substitution,replace | replace | replace
206,"مو ڽێو چي نون, دالدي يەەو اي","Mu ñëw ci nun, daldi yeew ay","mu ñëw ci nun, daldi yeew ay",Majuscule / minuscule,replace
207,يەەسو تونتو كو نە: « “ناڠا بێگگ,Yeesu tontu ko ne: « “Nanga bëgg,Yeesu tontu ko ne: «Nanga bëgg,Ponctuation,delete
208,يێەن ناگ يێەناي ڽي اند اك مان چي ساماي فيتنا.,Yéen nag yéenay ñi ànd ak man ci samay fitna.,yéen nag yéenay ñi ànd ak man ci samay fitna.,Majuscule / minuscule,replace
209,"مارت نە يەەسو: «بورووم بي, بوو في","Màrt ne Yeesu: «Boroom bi, boo fi","Mart ne Yeesu: «Boroom bi, boo fi",Diacritique / accent,replace
210,لوولوو تاخ وااجور يا نە: «لااجلەەن كو; ماگوم جێمم لا.»,Looloo tax waajur ya ne: «Laajleen ko; magum jëmm la.»,Yooluo tax waajur ya ne: «Laajleen ko; magum jëmm la.»,Substitution,replace | replace
211,واايە ندەگام دێگێر ڠا بوپپ تە بێگگولوو,Waaye ndegam dëgër nga bopp te bëgguloo,Waaye ndegam dégër nga bopp te bëgguloo,Diacritique / accent,replace
212,تە ساراخالەكات يو ماگ يي دي كو جييڽ لو بارە.,Te saraxalekat yu mag yi di ko jiiñ lu bare.,te saraxalekat yu mag yi di ko jiiñ lu bare.,Majuscule / minuscule,replace
213,"ماا چي دەس, تە ڽو ڠي ماي ووت ا رەي.»","maa ci des, te ñu ngi may wut a rey.»","yaa ci des, te ñu ngi may wut a rey.»",Substitution,replace
214,"چا, باي ووتتو ساخ يێرەي ڽي كو دوون رەي.”","ca, bay wottu sax yérey ñi ko doon rey.”","ca, bay wuttu sax yërey ñi ko doon rey.”",Substitution,replace | replace
215,"سا جاام, مي دوون گێمميڽو خەل مو","sa jaam, mi doon gémmiñu Xel mu","sa jaam, mi doon gëmmiñu xel mu",Diacritique / accent,replace | replace
216,"مو نە لەەن: «بوكك يي, لي خەل","Mu ne leen: «Bokk yi, li Xel","mu ne leen: «Bokk yi, li xel",Majuscule / minuscule,replace | replace
217,"خارەكات يا, بي ڽو دااجەە يەەسو چا","Xarekat ya, bi ñu daajee Yeesu ca","xarekat ya, bi ñu daajee Yeesu ca",Majuscule / minuscule,replace
218,نجومبە,njombe,jjumbe,Duplication / répétition,delete | replace
219,ڽو نوپپالو چي بيتي.,Ñu noppalu ci biti.,ñu noppalu ci biti.,Majuscule / minuscule,replace
220,بيندلەەن,bindleen,Iindleen,Substitution,replace
221,بووبا لي كو تاخوون دي واخ مووي,Booba li ko taxoon di wax mooy,booba li ko taxoon di wax mooy,Majuscule / minuscule,replace
222,"يسراييل, دێگلول! ياللا سونو بورووم مووم رەكك مووي بوور.","Israyil, déglul! Yàlla sunu Boroom moom rekk mooy Buur.","Israyil, dëglul! Yàlla sunu boroom roku rokr.",Erreur multiple / combinaison,replace | replace | replace | replace | replace | delete
223,دەم نا با جێەم ا تەدداديل ساخ,Dem na ba jéem a teddadil sax,dem na ba jéem a teddadil sax,Majuscule / minuscule,replace
224,خالە بي ليگگێەي چي موسقوێە بي,Xale bi liggéey ci mosquée bi,xale bi liggéey ci mosquée bi,Majuscule / minuscule,replace
225,"ما, مان, نداختە ماا واخ نە, سەەني جێف بااخول.","ma, man, ndaxte maa wax ne, seeni jëf baaxul.","ya, man, ndaxte maa wax ne, seeni jëf baaxul.",Substitution,replace
226,جۆگە چي واللي گاليلە اك دييواان بي,jóge ci wàlli Galile ak diiwaan bi,jóge ci walli galile ak diiwaan bi,Diacritique / accent,replace | replace
227,نداخ خاماگولەەن با تەي? خاناا فاتتاليكووولەەن جورۆومي,Ndax xamaguleen ba tey? Xanaa fàttalikuwuleen juróomi,Ndax xamaguleen ba tey? Xanaa fattalikooule,Erreur multiple / combinaison,replace | replace | delete
228,خوتتيكوو,xottikoo,xuttikuu,Substitution,replace | replace
229,واايە خەلو ياللا ماا ڠي نوي ڽاانال,waaye Xelu Yàlla maa ngi nuy ñaanal,Waaye xelu Yàlla maa ngi nuy ñaanal,Majuscule / minuscule,replace | replace
230,دێگلو بو بااخواايە دوڠەەن خام دارا;دي خوول,déglu bu baaxwaaye dungeen xam dara;di xool,déglu bu baaxuaaye dungeen xam dara;di xool,Substitution,replace
231,"ڽو بارە چي گەرەگ يي, دي جيگێەن","ñu bare ci Gereg yi, di jigéen","Ñu bare ci gereg yi, di jigéen",Majuscule / minuscule,replace | replace
232,"چي مبيري ساما نجوبتە, دينا لەەن يەي","Ci mbiri sama njubte, dina leen yey","ci mbiri sama njubte, dina leen yey",Majuscule / minuscule,replace
233,"بيير كێر چي واختو ويي, مااناام تيسباار.","biir kër ci waxtu wii, maanaam tisbaar.","biir kër ci waxtu wiy, maanaam tisbaar.",Substitution,replace
234,نيرێلەەل,nirëleel,niréleel,Diacritique / accent,replace
235,"چي گارابو وليو گو الل, واايە ياللا","ci garabu oliw gu àll, waaye Yàlla","ci garabu wliw gu àll, waaye Yàlla",Substitution,replace
236,"اك ييو اك دێگگ, ندام لي بااي","ak yiw ak dëgg, ndam li Baay","ak yiw ak dëgg, ndam li baay",Majuscule / minuscule,replace
237,"فەكك نا بووبا بێسو جێگگي با, دي ماگگالو ياووت يا, جوبسي.","Fekk na booba bésu Jéggi ba, di màggalu Yawut ya, jubsi.","fekk na booba bésu Jéggi ba, di màggalu Yawut ya, jubsi.",Majuscule / minuscule,replace
238,ڠەەن دەف لو دوي واار? خاناا ڽي,ngeen def lu doy waar? Xanaa ñi,ngeen def lu duy waar? Xanaa ñi,Substitution,replace
239,"ليبي, يي دەند اك سيرەن, نون اك گان ڽي جۆگە رووم,","Libi, yi dend ak Siren, nun ak gan ñi jóge Room,","Libi, yi dend ak Siren, nun ak gan ñi jóge room,",Majuscule / minuscule,replace
240,جويوو,joyoo,juyoo,Substitution,replace
241,يەەسو كيريست دي فەەڽ چي بيير ندامام.,Yeesu Kirist di feeñ ci biir ndamam.,yeesu Kirist di feeñ ci biir ndamam.,Majuscule / minuscule,replace
242,"يەەسو مووي بورووم بي, تە ڠا گێم","Yeesu mooy Boroom bi, te nga gëm","Yeesu mooy boroom bi, te nga gëm",Majuscule / minuscule,replace
243,"اك سەەني لوخو جومتوكااي, يي ڽو يەبوون ڠير فاگگو.","ak seeni loxo jumtukaay, yi ñu yeboon ngir fàggu.","ak seeni loxo jomtukaay, yi ñu yeboon ngir fàggu.",Substitution,replace
244,"چا مووم اي ياووت, دي ماگي دێكك","ca moom ay Yawut, di magi dëkk","ca moom ay yawut, di magi dëkk",Majuscule / minuscule,replace
245,ڠێرێمو نيت ا لەەن گێنالوون ڠێرێمو ياللا.,Ngërëmu nit a leen gënaloon ngërëmu Yàlla.,ngërëmë nit a leen gënaloon ngërëmu Yàlla.,Substitution,replace | replace
246,واخامباانە وا لااج كو: «يان لا?» يەەسو,Waxambaane wa laaj ko: «Yan la?» Yeesu,waxambaane wa laaj ko: «Yàn la?» Yeesu,Diacritique / accent,replace | replace
247,نەەخەە,neexee,eexee,Suppression,delete
248,ا مەڠالەەل ڠوورو ياللا? واللا بان لێەب,a mengaleel nguuru Yàlla? Walla ban léeb,a mengaleel nguuru Yàlla? Walla? Wal léeb,Erreur multiple / combinaison,insert | replace | replace
249,"تە ياخيا موومو, سو ڠەەن بێگگەە ناڠو","Te Yaxya moomu, su ngeen bëggee nangu","te Yaxya moomu, su ngeen bëggee nangu",Majuscule / minuscule,replace
250,لێەگي ڽو ڠي خوول.,Léegi ñu ngi xool.,léegi ñu ngi xool.,Majuscule / minuscule,replace
251,"بون لو جار دەە, كون دوما تينو","bon lu jar dee, kon duma tinu","bun lu jar dee, kon duma tinu",Substitution,replace
252,يتام چي ڽووم ڠا بوكك.» پييەەر تونتو,itam ci ñoom nga bokk.» Piyeer tontu,Yitam ci ñoom nga bokk.» Piyeer tontu,Insertion,insert
253,"تەندەەفال. مو نە لەەن: “لو تاخ ڠەەن يەندوو تەندەەفال, تە ليگگێەييوولەەن?”","tendeefal. Mu ne leen: “Lu tax ngeen yendoo tendeefal, te liggéeyiwuleen?”","yendeefal. Mu ne leen: “Lu tax ngeen yendeefal, te liggéeyaw, te liggéeyaw,leen?”",Erreur multiple / combinaison,replace | delete | insert | insert | replace
254,"خەو, خاملەەن نە جەگە نا; مو ڠي چي بونت بي ساخ.","xew, xamleen ne jege na; mu ngi ci bunt bi sax.","xew, xamleen ne jege na; mu ngi ci bant bi sax.",Substitution,replace
255,فووفا ڽو ينديل كو كو تێدد چي,Foofa ñu indil ko ku tëdd ci,Foofa ñu indil ko ko tëdd ci,Duplication / répétition,replace
256,"بي ماريااما دێگگەە لوولو, مو دالدي جۆگ, گااوانتوو دەم چا يەەسو.","Bi Maryaama déggee loolu, mu daldi jóg, gaawantoo dem ca Yeesu.","yi maryaama déggee loolu, mu daldi jóg, gaawantoo dem ca yeesu.",Substitution,replace | replace | replace
257,وايموڽانديكو,waymuñandiku,Waymuñandiku,Majuscule / minuscule,replace
258,بێسو نوفلااي بو نەكك ناگ موي دييسوو,Bésu noflaay bu nekk nag muy diisoo,bésu noflaay bu nekk nag muy diisoo,Majuscule / minuscule,replace
259,يێەن ڽي دوف تە گومبا! لان موو,Yéen ñi dof te gumba! Lan moo,yéen ñi dof te gumba! Lan moo,Majuscule / minuscule,replace
260,"يا, دالدي تاخاو چا جوور گا, فا","ya, daldi taxaw ca joor ga, fa","ya, daldi taxaw ca juur ga, fa",Substitution,replace
261,"ڽاان نا, ڽو جێببال لەەن كو, ڠير","ñaan na, ñu jébbal leen ko, ngir","Ñaan na, ñu jébbal leen ko, ngir",Majuscule / minuscule,replace
262,مبێگتە بي ام نا چي ساما خول,Mbégte bi am na ci sama xol,mbégte bi am na ci sama xol,Majuscule / minuscule,replace
263,كون مو يۆننەەتي يەنەەن سورگا نە لەەن:,Kon mu yónneeti yeneen surga ne leen:,kon mu yónneeti yeneen surga ne leen:,Majuscule / minuscule,replace
264,نەتتالي لا خەووون چا يوون وا اك,nettali la xewoon ca yoon wa ak,nettali la xewuon ca yoon wa ak,Substitution,replace
265,تە سااراتا دينا ام دووم جو گۆور.»,te Saarata dina am doom ju góor.»,te saarata dina am doom ju góor.»,Majuscule / minuscule,replace
266,"توول ا ڠا ووون چا وەتو بێراب,","Tool a nga woon ca wetu bérab,","tool a nga woon ca wetu bérab,",Majuscule / minuscule,replace
267,«ووتوما تاگگ يو جۆگە چي نيت.,«Wutuma tagg yu jóge ci nit.,«Wootuma tagg yu jóge ci nit.,Substitution,replace
268,"""بو گانجار امەە, ڽو بێگ.""","""Bu gànjar amee, ñu bég.""","""Bu gànjar amee, ñu bëg.""",Diacritique / accent,replace
269,"وۆور نە, ياووت يا جوددوواالە نەكك چي","wóor ne, Yawut ya judduwaale nekk ci","wóor ne, yawut ya judduwaale nekk ci",Majuscule / minuscule,replace
270,مەلوكان,melokan,melukan,Substitution,replace
271,"يا ناخ ناڽو كو, مو دالدي مەر","ya nax nañu ko, mu daldi mer","ay nax nañu ko, mu daldi mer",Erreur multiple / combinaison,insert | delete
272,لوولو كون وونە نا ني ياللا بااخە,Loolu kon wone na ni Yàlla baaxe,loolu kon wone na ni Yàlla baaxe,Majuscule / minuscule,replace
273,چي باات يوويو لا دوون ميساالە ني مو وار ا فااتوو.,Ci baat yooyu la doon misaale ni mu war a faatoo.,ci baat yooyu la doon misaale ni mu war a faatuw.,Substitution,replace | replace
274,مووم اك ڽا مو اندالوون?,moom ak ña mu àndaloon?,moom ak ña mu andaloon?,Diacritique / accent,replace
275,ڽووڽيي,ñooñii,ñooñiy,Substitution,replace
276,رێي مي دا لاا خاڽ ساگو.»,réy mi da laa xañ sago.»,réy mi da laa xañ sagu.»,Substitution,replace
277,نداو سي جاڠ نا سابار.,Ndaw si jàng na sabar.,Ndàw Si jàng na sabar.,Diacritique / accent,replace | replace
278,ام الال. لو كو موي ڽووڽو يتام,am alal. Lu ko moy ñooñu itam,am alal. Lu ko muy ñooñu itam,Substitution,replace
279,"نوونو مو وێر چي دييواانو گاليلە گێپپ,","Noonu mu wër ci diiwaanu Galile gépp,","Noonu mu wér ci diiwaanu Galile gépp,",Diacritique / accent,replace
280,"واايە ساما نوون يي, ڽي بێگگول ووون","Waaye sama noon yi, ñi bëggul woon","waaye sama noon yi, ñi bëggul woon",Majuscule / minuscule,replace
281,"با ڽو لەەن يۆببوو چا بابيلون, يەكوڽاس جور سالاچەل; سالاچەل سوروبابەل,","Ba ñu leen yóbboo ca Babilon, Yekoñas jur Salacel; Salacel Sorobabel,","ba ñu leen yóbboo ca bàbilun, yekuñas jur salacel; salacel; salacellusulubabell surubabell surubabel",Erreur multiple / combinaison,replace | replace | replace | replace | replace | replace | replace | insert | replace | replace
282,"كيي موو داان تووگ, دي يەلواان?»","kii moo daan toog, di yelwaan?»","kiy moo daan toog, di yelwaan?»",Substitution,replace
283,جاڠ بي مووي نجاريڽ بو رێي,Jàng bi mooy njariñ bu rëy,jàng bi mooy njariñ bu réy,Diacritique / accent,replace | replace
284,بيي,biy,bii,Duplication / répétition,replace
285,"نا, مو تووگاات يەنەەن ڽااري فان چا بێراب, با مو نەككوون.","na, mu toogaat yeneen ñaari fan ca bérab, ba mu nekkoon.","ya, mu toogaat yeneen ñaari fan ca bérab, ba mu nekkoon.",Substitution,replace
286,"لو ێپپ لا ڽو جي ووون, موي جورۆوم-بەنن-فوكك مباا فانوەەر.»","lu ëpp la ñu ji woon, muy juróom-benn-fukk mbaa fanweer.»","lépp la ñu ji woon, muy juróom-bekn fanueer.»",Erreur multiple / combinaison,replace | insert | delete | replace
287,"ساپپەە, نان لاڽو كوي دەللوو چافكاام? دو","sàppee, nan lañu koy delloo cafkaam? Du","sappee, nan lañu koy delloo cafkaam? Du",Diacritique / accent,replace
288,"نوونو ڽو فور اي خەەر, بێگگ كو","Noonu ñu for ay xeer, bëgg ko","Noonu ñu for ay xeer, bëgg ku",Substitution,replace
289,"واايە سو ما كو دەفەە, بو ڠەەن","waaye su ma ko defee, bu ngeen","Waaye su ma ko defee, bu ngeen",Majuscule / minuscule,replace
290,سالاام الەەكوم.,Salaam aleekum.,salaam aleekum.,Majuscule / minuscule,replace
291,كوي يێرێم نە كو: «بول جووياتي.»,koy yërëm ne ko: «Bul jooyati.»,kuy yérëm ne ko: «Bul jooyati.»,Substitution,replace | replace
292,"لااتا ڽوي جالل, بەنن خوتباكات دالدي ڽێو","Laata ñuy jàll, benn xutbakat daldi ñëw","laata ñuy jàll, benn xutbakat daldi ñëw",Majuscule / minuscule,replace
293,تەي خاريتوو اك اي جووتيكات اك اي بورووم باككاار.”,tey xaritoo ak ay juutikat ak ay boroom bàkkaar.”,tey xarituw ak ay juutikat ak ay boroom bàkkaar.”,Substitution,replace
294,"چا نجێل ناگ يەەسو جێم چي ڽووم,","Ca njël nag Yeesu jëm ci ñoom,","ca njël nag yeesu jëm ci ñoom,",Majuscule / minuscule,replace | replace
295,ڽو تونتو نە: «نداختە بورووم بي دا كوو سوخلا.»,Ñu tontu ne: «Ndaxte Boroom bi da koo soxla.»,yu tontu ne: «Ndaxte boroom bi da koo soxla.»,Substitution,replace | replace
296,يانقۆوبا; يسااخا; يبراايما; تەراا; ناخور;,Yanqóoba; Isaaxa; Ibraayma; Teraa; Naxor;,yanqóoba; Isaaxa; Ibraayma; teraa; naxur;,Substitution,replace | replace | replace | replace
297,"وي ڠا ما جوخ. ووتتو ناا لەەن,","wi nga ma jox. Wottu naa leen,","wi nga ma jox. Wuttu naa leen,",Substitution,replace
298,مێسوما,mësuma,mésuma,Diacritique / accent,replace
299,فااتتالي,fàattali,faattali,Diacritique / accent,replace
300,"گاننااو لوولو يەەسو دافا جالل دەخو گاليلە, مااناام دەخو تيبەريادد.","Gannaaw loolu Yeesu dafa jàll dexu Galile, maanaam dexu Tiberyàdd.","Gannaaw loolu Yeesu dafa jall dexu Galile, maanaam dexu tiberi.",Substitution,replace | replace | replace
301,"نوونو فيليب تامبالي چي اايا يوويو, خامال","Noonu Filib tàmbali ci aaya yooyu, xamal","Noonu filib tàmbali ci aaya yooyu, xamal",Majuscule / minuscule,replace
302,"نون ڽێپپ نو ڠي لەەن دي دێگگ,","nun ñépp nu ngi leen di dégg,","Nun ñépp nu ngi leen di dégg,",Majuscule / minuscule,replace
303,"رەي, مان مي لەەن جوتتالي دێگگ, گي","rey, man mi leen jottali dëgg, gi","rey, man mi leen jottali dégg, gi",Diacritique / accent,replace
304,"تە ڽيي خام ناڽو نە, ياا ما يۆنني.","te ñii xam nañu ne, yaa ma yónni.","te ñiy xam nañu ne, yaa ma yónni.",Substitution,replace
305,اق,àq,aq,Diacritique / accent,replace
306,فاس يێەنەە مويتو لێپپ لو نەكك فيير,fas yéenee moytu lépp lu nekk fiir,Fas yéenee moytu lépp lu nekk fiir,Majuscule / minuscule,replace
307,"نداختە كوي دەف چووبارەگ ياللا, كووكو مووي","ndaxte kuy def coobareg Yàlla, kooku mooy","Ndaxte kuy def coobareg Yàlla, kooku mooy",Majuscule / minuscule,replace
308,دويلو,doylu,duylu,Substitution,replace
309,نو ڠي ليگگێەياندوو چي ليگگێەيو ياللا; يێەناي,Nu ngi liggéeyandoo ci liggéeyu Yàlla; yéenay,nu ngi liggéeyandoo ci liggéeyu Yàlla;,Erreur multiple / combinaison,replace | delete
310,"ني اگ لەەر لاا واچچە چي اددينا,","Ni ag leer laa wàcce ci àddina,","ni ag leer laa wàcce ci àddina,",Majuscule / minuscule,replace
311,وورماال,wormaal,wurmaal,Substitution,replace
312,يسراايييل,israayiil,Israayiil,Majuscule / minuscule,replace
313,بي لوولو وێيەە گاننااو يەەسو خام نا,Bi loolu wéyee gannaaw Yeesu xam na,bi loolu wéyee gannaaw Yeesu xam na,Majuscule / minuscule,replace
314,بان ليگگێەي ڠا نار ا دەف?,Ban liggéey nga nar a def?,ban liggéey nga nar a def?,Majuscule / minuscule,replace
315,چي سونو كاو!’تە ناان جانج يي: «“سوول-لەەن نو!»“ “,ci sunu kaw!’te naan jànj yi: «“Suul-leen nu!»“ “,ci sunu kaw! Te naan janj yi: «Sool-leen nu!» “,Erreur multiple / combinaison,replace | replace | delete | replace | delete
316,دێنكوون,dénkoon,dénkuon,Substitution,replace
317,"كو: «ياللا تەرە, بورووم بي, لوولو دو لا دال.»","ko: «Yàlla tere, Boroom bi, loolu du la dal.»","yo: «Yàlla tere, boroom bi, loolu du la dal.»",Substitution,replace | replace
318,اددينا سێپپ. تە ڽي دول ياووت ديناڽو,àddina sépp. Te ñi dul Yawut dinañu,Addina sépp. Te ñi dul Yawut dinañu,Diacritique / accent,replace
319,اك گومور ڽووي تانە دێكك بووبو.,ak Gomor ñooy tane dëkk boobu.,ak gumur ñooy tane dëkk boobu.,Substitution,replace | replace
320,"ساي بوكك, تە ڽێو چي رێەو, مي ما لاي وون.”","say bokk, te ñëw ci réew, mi ma lay won.”","yay bokk, te ñëw ci réew, mi ma lay won.”",Substitution,replace
321,"ااداما. ام ناا يێەنەي دەف لو بااخ, واايە اوما كاتتانو يەگگالە.","Aadama. Am naa yéeney def lu baax, waaye awma kàttanu yeggale.","aadama. Am naa yéeney def lu baax, waaye awmà kattalu.",Erreur multiple / combinaison,replace | replace | replace | replace | delete
322,"مو دێپپ جێوام چا تانكي يەەسو, دي","Mu dëpp jëwam ca tànki Yeesu, di","Mu dépp jëwam ca tànki Yeesu, di",Diacritique / accent,replace
323,واايە ڽووم ڽو ساخ چا لا ڽو,Waaye ñoom ñu sax ca la ñu,waaye ñoom ñu sax ca la ñu,Majuscule / minuscule,replace
324,ياللااي,yàllaay,Yàllaay,Majuscule / minuscule,replace
325,نوونو ڽو لااج كو نە: «واخ نو,Noonu ñu laaj ko ne: «Wax nu,woonu ñu laaj ko ne: «Wax nu,Substitution,replace
326,تە يەەسو مێنو فاا دەف اي كێەماان,Te Yeesu mënu faa def ay kéemaan,te Yeesu mënu faa def ay kéemaan,Majuscule / minuscule,replace
327,فێتتێەرلو,féttéerlu,Fëttéerlu,Diacritique / accent,replace
328,فوو جێم چي سوبا-سێدد.,Foo jëm ci suba-sédd.,foo jëm ci suba-sédd.,Majuscule / minuscule,replace
329,"تە يت نو ڠي بێگ چيي نێگانديكو,","Te it nu ngi bég ciy négandiku,","Te it nu ngi bëg ciy nëgandiku,",Diacritique / accent,replace | replace
330,دي فاج جاڠورو يێپپ اك وێرادي يێپپ.,di faj jàngoro yépp ak wéradi yépp.,Yi faj jàngoro yépp ak wéradi yépp.,Substitution,replace
331,"بي جورۆومي فان وێيەە, اناڽاس ساراخالەكات بو","Bi juróomi fan wéyee, Anañas saraxalekat bu","Bi juróomi fan wéyee, anañas saraxalekat bu",Majuscule / minuscule,replace
332,"بي موساا دێگگەە واخ جووجو, مو دالدي","Bi Musaa déggee wax jooju, mu daldi","Bi musaa déggee wax jooju, mu daldi",Majuscule / minuscule,replace
333,"موسوڽوو جاڠ مباا ڽوي گێستو چي ديينە,","musuñoo jàng mbaa ñuy gëstu ci diine,","Musuñoo jàng mbaa ñuy géstu ci diine,",Diacritique / accent,replace | replace
334,اتتە,àtte,tàtte,Insertion,insert
335,"يەروسالەم, جاار چي دييوااني ماسەدووان اك اكايي.","Yerusalem, jaar ci diiwaani Maseduwan ak Akayi.","yerusalem, jaar ci diiwaani maseduwan ak akayi.",Majuscule / minuscule,replace | replace | replace
336,"وو رێي چي بااتام, سانني كو چا","wu réy ci baatam, sànni ko ca","wo réy ci baatam, sànni ko ca",Substitution,replace
337,چا ساا سا سەەني بێت دالدي وببيكو.,Ca saa sa seeni bët daldi ubbiku.,ca saa sa seeni bët daldi ubbiku.,Majuscule / minuscule,replace
338,"ناڽو ياووت, مو جاخاسوو اك كو مو","nañu Yawut, mu jaxasoo ak ku mu","nañu yawut, mu jaxasoo ak ku mu",Majuscule / minuscule,replace
339,"كو: «نويو نانو لا, ياو بوورو ياووت يي!»","ko: «Nuyu nanu la, yaw buuru Yawut yi!»","ko: «Nuyu nanu la, yaw buuru yawut yi!»",Majuscule / minuscule,replace
340,"بوومي دەە, نداختە دەە مێنو كوو تێيە.","buumi dee, ndaxte dee mënu koo téye.","boomi dee, ndaxte dee mënu koo tëye.",Substitution,replace | replace
341,"بااخ, تە دينا لا تاگگ.","baax, te dina la tagg.","baax, te dina la tàgg.",Diacritique / accent,replace
342,"دو او فەن. ساما خەل, مي خەل","du aw fen. Sama xel, mi Xel","du aw fen. Sama xel, mi xel",Majuscule / minuscule,replace
343,مووم اك سەەني دووم اك ڽو سورە,moom ak seeni doom ak ñu sore,Moom ak seeni doom ak ñu sore,Majuscule / minuscule,replace
344,خەەت يونەنت ني مان; ناڠەەن كو دێگگال,xeet Yonent ni man; nangeen ko déggal,xeet yonent ni man; nangeen ko déggal,Majuscule / minuscule,replace
