confusion,attendu_caractere,predit_caractere,mot_attendu,mot_predit,position_dans_mot,position_caractere,phrase_attendue,phrase_predite,Ajami
o -> u,o,u,"Segond,","segund,",Milieu du mot,3,"ak Segond, ñi dëkk Tesalonig; Gayus, mi","ak segund, ñi dëkk tesalunig; gayus, mi","اك سەگوند, ڽي دێكك تەسالونيگ; گايوس, مي"
o -> u,o,u,Tesalonig;,tesalunig;,Milieu du mot,5,"ak Segond, ñi dëkk Tesalonig; Gayus, mi","ak segund, ñi dëkk tesalunig; gayus, mi","اك سەگوند, ڽي دێكك تەسالونيگ; گايوس, مي"
o -> u,o,u,soflu.,suflu.,Milieu du mot,1,"ngelaw li, ndaxte ngelaw li da noo soflu.","ngelaw li, ndaxte ngelaw li da noo suflu.","ڠەلاو لي, نداختە ڠەلاو لي دا نوو سوفلو."
o -> u,o,u,"woor,","wuur,",Milieu du mot,1,"ne ko: «Lu tax nuy woor, nun","ne ko: «Lu tax nuy wuur, nun","نە كو: «لو تاخ نوي ووور, نون"
o -> u,o,u,"woor,","wuur,",Milieu du mot,2,"ne ko: «Lu tax nuy woor, nun","ne ko: «Lu tax nuy wuur, nun","نە كو: «لو تاخ نوي ووور, نون"
u -> o,u,o,ku,ko,Fin du mot,1,"ku xamul ne, dëkku Efes moo di","ko xamul ne, dëkku Efes moo di","كو خامول نە, دێككو ەفەس موو دي"
o -> u,o,u,geñog,geñug,Milieu du mot,3,"ñu ràbbe kawaru giléem, takk geñog der","Ñu rabbe kawaru Gilëem, takk geñug der","ڽو راببە كاوارو گيلێەم, تاكك گەڽوگ دەر"
o -> u,o,u,Areyopas.,areyupas.,Milieu du mot,4,"ca géew, ba ñuy wax Areyopas. Ñu","ca géew, ba ñuy wax areyupas. Ñu","چا گێەو, با ڽوي واخ ارەيوپاس. ڽو"
o -> u,o,u,"Mesopotami,","Mesuputami,",Milieu du mot,3,"waa Elam, nun ñi dëkk Mesopotami, réewu","Waa elam, nun ñi dëkk Mesuputami, réewu","واا ەلام, نون ڽي دێكك مەسوپوتامي, رێەوو"
o -> u,o,u,"Mesopotami,","Mesuputami,",Milieu du mot,5,"waa Elam, nun ñi dëkk Mesopotami, réewu","Waa elam, nun ñi dëkk Mesuputami, réewu","واا ەلام, نون ڽي دێكك مەسوپوتامي, رێەوو"
i -> y,i,y,Nii,niy,Fin du mot,2,"Nii la doon waaree: «Tuubleen seeni bàkkaar,","niy la doon waaree: «Tuubleen seeni bàkkaar,","نيي لا دوون واارەە: «تووبلەەن سەەني باككاار,"
i -> y,i,y,lii,liy,Fin du mot,2,Waaye lii la ko Yàlla tontu: «Dencal,Waaye liy la ko Yàlla tontu: «Dencal,واايە ليي لا كو ياللا تونتو: «دەنچال
i -> y,i,y,indi,yindi,Début du mot,0,baax buy indi mbég mu réy ci nit ñépp.,Yaax buy yindi mbëg mu réy ci nit ñépp.,بااخ بوي يندي مبێگ مو رێي چي نيت ڽێپپ.
o -> u,o,u,féetewoo,féetewuw,Milieu du mot,6,may war a féetewoo ci ndono li.”,may war a féetewuw ci ndonu li.”,ماي وار ا فێەتەووو چي ندونو لي.”
o -> u,o,u,ndono,ndonu,Fin du mot,4,may war a féetewoo ci ndono li.”,may war a féetewuw ci ndonu li.”,ماي وار ا فێەتەووو چي ندونو لي.”
o -> u,o,u,rob,rub,Milieu du mot,1,fekk ñuy rob néew boo xam ne,fekk ñuy rub néew boo xam ne,فەكك ڽوي روب نێەو بوو خام نە
o -> u,o,u,askanoo,askanuo,Milieu du mot,5,"saraxalekat, ya askanoo ci Abiya. Jabaram Elisabet","saraxalekat, ya askanuo ci abiia. Jabaram Elisabet","ساراخالەكات, يا اسكانوو چي ابييا. جابارام ەليسابەت"
y -> i,y,i,Abiya.,abiia.,Milieu du mot,3,"saraxalekat, ya askanoo ci Abiya. Jabaram Elisabet","saraxalekat, ya askanuo ci abiia. Jabaram Elisabet","ساراخالەكات, يا اسكانوو چي ابييا. جابارام ەليسابەت"
u -> o,u,o,jubluwu,jubloo,Milieu du mot,4,"ndaxte xam nanu ne, tariixa booba, kenn jubluwu ko fenn.»","yànte xam nanu ne, tariixa booba, kenn jubloo ko fenn.»","نداختە خام نانو نە, تارييخا بووبا, كەنن جوبلووو كو فەنن.»"
i -> y,i,y,indil,yidil,Début du mot,0,Soo dee lekk luy indil sa moroom,soo dee lekk luy yidil sa moroom,سوو دەە لەكك لوي ينديل سا مورووم
o -> u,o,u,warunoo,warunuo,Milieu du mot,5,Waaye warunoo yemale tooñu Aadama ak mayu,waaye warunuo yemale tooñu aadama ak mayu,واايە وارونوو يەمالە تووڽو ااداما اك مايو
o -> u,o,u,toppatoo,toppatuo,Milieu du mot,6,toppatoo,toppatuo,توپپاتوو
o -> u,o,u,doj,duj,Milieu du mot,1,"réy-a-réy la woon. Noonu ñu xool, gis ne doj wa deñ.","réy-a-réy la woon. Noonu ñu xool, gis ne duj wa deñ.","رێي-ا-رێي لا ووون. نوونو ڽو خوول, گيس نە دوج وا دەڽ."
y -> i,y,i,Iskariyo,Iskariyu,Milieu du mot,6,"Yudaa --du Yudaa Iskariyo de, beneen la","Yuddaa --du Yudaa Iskariyu de, beneen la","يوداا --دو يوداا يسكارييو دە, بەنەەن لا"
o -> u,o,u,bon,bun,Milieu du mot,1,"bon lay wax, jële ko ca fa mu denc lu bon.","bun lay wax, jële ko ca fa mu denc lu bon.","بون لاي واخ, جێلە كو چا فا مو دەنچ لو بون."
o -> u,o,u,xobi,xubi,Milieu du mot,1,xobi,xubi,خوبي
i -> y,i,y,lii,liy,Fin du mot,2,"jàppuleen ma. Waaye lii am na, ngir Mbind mi am.»","yàppuleen ma. Waaye liy am na, ngir mbind mi am.»","جاپپولەەن ما. واايە ليي ام نا, ڠير مبيند مي ام.»"
i -> y,i,y,wii,wiy,Fin du mot,2,"Yàlla, santal doj wii mu nekk mburu.»","yalla, santal doj wiy mu nekk mburu.»","ياللا, سانتال دوج ويي مو نەكك مبورو.»"
o -> u,o,u,"Nikanor,","nikanur,",Milieu du mot,5,"teg ca Nikanor, Timon, Parmenas ak Nikolas,","Teg ca nikanur, timon, parmenas ak nikulas,","تەگ چا نيكانور, تيمون, پارمەناس اك نيكولاس,"
o -> u,o,u,"Nikolas,","nikulas,",Milieu du mot,3,"teg ca Nikanor, Timon, Parmenas ak Nikolas,","Teg ca nikanur, timon, parmenas ak nikulas,","تەگ چا نيكانور, تيمون, پارمەناس اك نيكولاس,"
o -> u,o,u,ko,ku,Fin du mot,1,"ñu noppalu, ni ko yoon wi santaanee.","ñu noppalu, ni ku yoon wi santaanee.","ڽو نوپپالو, ني كو يوون وي سانتاانەە."
i -> y,i,y,bii,biy,Fin du mot,2,"jële, te xam-xam bii mu yor, lu","jële, te xam-xam biy mu yur, lu","جێلە, تە خام-خام بيي مو يور, لو"
o -> u,o,u,"yor,","yur,",Milieu du mot,1,"jële, te xam-xam bii mu yor, lu","jële, te xam-xam biy mu yur, lu","جێلە, تە خام-خام بيي مو يور, لو"
o -> u,o,u,ko,ku,Fin du mot,1,"ca, takk ko ci bantu garab gu","ca, takk ku ci bantu garab gu","چا, تاكك كو چي بانتو گاراب گو"
o -> u,o,u,ko,ku,Fin du mot,1,"Noonu Korney ne ko jàkk, daldi tiit","Noonu korney ne ku jàkk, daldi tiit","نوونو كورنەي نە كو جاكك, دالدي تييت"
o -> u,o,u,sonalee,sunalee,Milieu du mot,1,Waaye bi nu ngelaw li sonalee bu,Waaye bi nu ngelaw li sunalee bu,واايە بي نو ڠەلاو لي سونالەە بو
o -> u,o,u,"nangou.""","nanguu.""",Milieu du mot,4,"""Waaw, dama nangou.""","""Waaw, dama nanguu.""","""وااو, داما ناڠوو."""
o -> u,o,u,loraangee,luraaŋgee,Milieu du mot,1,"Léegi kat loraangee ngi nuy yoot, te","léegi kat luraaŋgee ngi nuy yoot, te","لێەگي كات لورااڠەە ڠي نوي يووت, تە"
i -> y,i,y,liit,liyt,Milieu du mot,2,"gis ñiy liit ak toxoro, ak mbooloo","gis ñiy liyt ak toxoru, ak mbooloo","گيس ڽيي لييت اك توخورو, اك مبوولوو"
o -> u,o,u,"toxoro,","toxoru,",Milieu du mot,5,"gis ñiy liit ak toxoro, ak mbooloo","gis ñiy liyt ak toxoru, ak mbooloo","گيس ڽيي لييت اك توخورو, اك مبوولوو"
o -> u,o,u,ko,ku,Fin du mot,1,nga wax ko kem sa ngëm;,nga wax ku kem sa ngëm;,ڠا واخ كو كەم سا ڠێم;
i -> y,i,y,biiñ,biyñ,Milieu du mot,2,"mbuus yi, biiñ bi tuuru, mbuus yi yàqu.","mbuus yi, biyñ bi tuuru, mbuus yi yàqu.","مبووس يي, بييڽ بي توورو, مبووس يي ياقو."
u -> o,u,o,wu,wo,Fin du mot,1,"wu bare, te àtte leen jub ci dara fa kanamam.","wo bare, te àtte leen jub ci dara fa kanamam.","وو بارە, تە اتتە لەەن جوب چي دارا فا كانامام."
i -> y,i,y,«Kii,«Kiy,Fin du mot,3,«Kii nee woon na: “Man naa toj,«Kiy nee woon na: “Man naa toj,«كيي نەە ووون نا: “مان ناا توج
o -> u,o,u,doy,duy,Milieu du mot,1,“Li nu yor du doy ngir nun,“Li nu yor du duy ngir nun,“لي نو يور دو دوي ڠير نون
y -> i,y,i,"tànt,biy","tànt,bii",Fin du mot,7,"Yóbbu ngeen sax fu nekk tànt,biy màggalukaayu","yóbbu ngeen sax fu nekk tànt,bii màggalukaayu","يۆببو ڠەەن ساخ فو نەكك تانت,بيي ماگگالوكاايو"
o -> u,o,u,jamono,jamonu,Fin du mot,5,jamono dina ñëw te agsi na ba,jamonu dina ñëw te agsi na ba,جامونو دينا ڽێو تە اگسي نا با
u -> o,u,o,Fatou,Fatoo,Fin du mot,4,Fatou maa ngi jàng wolof,Fatoo maa ngi jàng wolof,فاتوو ماا ڠي جاڠ وولوف
i -> y,i,y,miikaayil,miykaayil,Milieu du mot,2,miikaayil,miykaayil,مييكااييل
o -> u,o,u,"moy,","muy,",Milieu du mot,1,"dina ko indil jàmm. Lu ko moy,","dina ko indil jàmm. Lu ko muy,","دينا كو ينديل جامم. لو كو موي,"
o -> u,o,u,ko,ku,Fin du mot,1,"ko gise, muy dem asamaan.»","ku gise, muy dem asamaan.»","كو گيسە, موي دەم اساماان.»"
o -> u,o,u,Sonnoon,Sunnuon,Milieu du mot,1,Sonnoon na lool ci loxoy fajkat yu,Sunnuon na lool ci loxoy fajkat yu,سوننوون نا لوول چي لوخوي فاجكات يو
o -> u,o,u,Sonnoon,Sunnuon,Milieu du mot,4,Sonnoon na lool ci loxoy fajkat yu,Sunnuon na lool ci loxoy fajkat yu,سوننوون نا لوول چي لوخوي فاجكات يو
o -> u,o,u,ko,ku,Fin du mot,1,kàddu gi te denc ko ci xol,kàddu gi te denc ku ci xol,كاددو گي تە دەنچ كو چي خول
i -> y,i,y,miin,miyn,Milieu du mot,2,miin,miyn,ميين
o -> u,o,u,jolli,yulli,Milieu du mot,1,"jolli na ci ñeenti xebla yépp,seen wax wër na àddina sépp.»","yulli na ci ñeenti xebla yépp,seen wax wér na dàddina addina sépp.»","جوللي نا چي ڽەەنتي خەبلا يێپپ,سەەن واخ وێر نا اددينا سێپپ.»"
o -> u,o,u,koy,kuy,Milieu du mot,1,"ci njaaloo, yaa koy tegtal yoonu njaaloo.","ci njaaloo, yaa kuy tegtal yoonu njaaloo.","چي نجاالوو, ياا كوي تەگتال يوونو نجاالوو."
o -> u,o,u,mos,Mus,Milieu du mot,1,"nanu ne, dunu mos dara, ba kera nuy rey Pool.","yanu ne, dunu Mus dara, ba kera nuy rey pool.","نانو نە, دونو موس دارا, با كەرا نوي رەي پوول."
o -> u,o,u,"Tarakonit,","tarakunit,",Milieu du mot,5,"diiwaanu Iture ak bu Tarakonit, te Lisañas yilif Abilen.","Yiiwaanu iture ak bu tarakunit, te lisañas yilif abilef.","دييواانو يتورە اك بو تاراكونيت, تە ليساڽاس ييليف ابيلەن."
o -> u,o,u,avons,awuns,Milieu du mot,2,avons,awuns,اڤونس
o -> u,o,u,dégloo,dégluw,Milieu du mot,4,"Seetleen bu baax, ni ngeen di dégloo","seetleen bu baax, ni ngeen di dégluw","سەەتلەەن بو بااخ, ني ڠەەن دي دێگلوو"
i -> y,i,y,yii,yiy,Fin du mot,2,"a teg beneen yen, lu dul dénkaane yii am njariñ,","a teg beneen yen, lu dul dënkaane yiy am njariñ,","ا تەگ بەنەەن يەن, لو دول دێنكاانە ييي ام نجاريڽ,"
o -> u,o,u,ko,ku,Fin du mot,1,"Piyeer topp ko fu sore, ba ci","Piyeer topp ku fu sore, ba ci","پييەەر توپپ كو فو سورە, با چي"
u -> o,u,o,kou,koo,Fin du mot,2,Mangi lay ñaanal yene kou bakh ak jamm.,màngi lay ñaanal yene koo bàkk ak jàmm.,ماڠي لاي ڽاانال يەنە كوو باكه اك جامم.
u -> o,u,o,buumam.,boomam.,Milieu du mot,1,"buumam. Léegi nag nu ngi jaamu Yàlla,","boomam. Léegi nag nu ngi jaamu Yàlla,","بوومام. لێەگي ناگ نو ڠي جاامو ياللا,"
u -> o,u,o,buumam.,boomam.,Milieu du mot,2,"buumam. Léegi nag nu ngi jaamu Yàlla,","boomam. Léegi nag nu ngi jaamu Yàlla,","بوومام. لێەگي ناگ نو ڠي جاامو ياللا,"
y -> i,y,i,"milyoŋ,","miliwŋ,",Milieu du mot,3,"Kenn ka, mu dénk ko juróomi milyoŋ,","kenn ka, mu dénk ko juróomi miliwŋ,","كەنن كا, مو دێنك كو جورۆومي ميليوڠ,"
u -> o,u,o,séenuwul.»,séenooul.»,Milieu du mot,4,ki dina ñëw ci waxtu wu ngeen ko séenuwul.»,yi dina ñëw ci waxtu wu ngeen ko séenooul.»,كي دينا ڽێو چي واختو وو ڠەەن كو سێەنووول.»
o -> u,o,u,ko,ku,Fin du mot,1,"mi, mu yilif ko moom ak askanam, fekk booba amagul doom.","mi, mu yilif ku moom ak askanam, fekk booba amagul doom.","مي, مو ييليف كو مووم اك اسكانام, فەكك بووبا اماگول دووم."
o -> u,o,u,sore,sure,Milieu du mot,1,"Bi nit ñooñu di sore Yeesu, Piyeer","Bi nit ñooñu di sure Yeesu, Piyeer","بي نيت ڽووڽو دي سورە يەەسو, پييەەر"
i -> y,i,y,indi,yidi,Début du mot,0,«Damaa ñëw ngir indi safara si ci,«Damaa ñëw ngir yidi safara si ci,«داماا ڽێو ڠير يندي سافارا سي چي
i -> y,i,y,miir.,Miyr.,Milieu du mot,2,ndàbb lu xeeñ lu ñuy wax miir.,Ndàbb lu xeeñ lu ñuy wax Miyr.,ندابب لو خەەڽ لو ڽوي واخ ميير.
o -> u,o,u,loo,lu,Milieu du mot,1,"màgg? Yonent yi itam faatu nañu. Waaw, loo teg sa bopp?»","yàgg? yonent yi itam faatu nañu. Woa , lu teg sa bopp?»","ماگگ? يونەنت يي يتام فااتو ناڽو. وااو, لوو تەگ سا بوپپ?»"
o -> u,o,u,defewuko,defewuku,Milieu du mot,7,defewuko,defewuku,دەفەووكو
o -> u,o,u,foñ,fuñ,Milieu du mot,1,foñ,fuñ,فوڽ
o -> u,o,u,ñoñam,ñuñam,Milieu du mot,1,"Baay ba, jot na. Ku bëgg ñoñam","baay ba, jot na. Ku bëgg ñuñam","بااي با, جوت نا. كو بێگگ ڽوڽام"
u -> o,u,o,muuma,mooma,Milieu du mot,1,muuma,mooma,مووما
u -> o,u,o,muuma,mooma,Milieu du mot,2,muuma,mooma,مووما
o -> u,o,u,ko,ku,Fin du mot,1,"xeej, jam ko ko ci wet, ca","xeej, jam ku ko ci wet, ca","خەەج, جام كو كو چي وەت, چا"
o -> u,o,u,soo,suu,Milieu du mot,1,"ne ko: «Sang bi, soo ko bëggee, man nga maa faj.»","ye ko: «Sang bi, suu ko bëggee, man nga maa faj.»","نە كو: «ساڠ بي, سوو كو بێگگەە, مان ڠا ماا فاج.»"
o -> u,o,u,soo,suu,Fin du mot,2,"ne ko: «Sang bi, soo ko bëggee, man nga maa faj.»","ye ko: «Sang bi, suu ko bëggee, man nga maa faj.»","نە كو: «ساڠ بي, سوو كو بێگگەە, مان ڠا ماا فاج.»"
o -> u,o,u,yoor-yoor,yuur-yoor,Milieu du mot,1,"fooge, ndaxte nu ngi ci yoor-yoor rekk.","fooge, ndaxte nu ngi ci yuur-yoor rekk.","فووگە, نداختە نو ڠي چي يوور-يوور رەكك."
o -> u,o,u,yoor-yoor,yuur-yoor,Milieu du mot,2,"fooge, ndaxte nu ngi ci yoor-yoor rekk.","fooge, ndaxte nu ngi ci yuur-yoor rekk.","فووگە, نداختە نو ڠي چي يوور-يوور رەكك."
o -> u,o,u,Molog,Mullug,Milieu du mot,1,"Molog ak biddiiwub Refan,bi ñu daan bokkaaleel","Mullug ak biddiiwub refan,bi ñu daan bokkaaleel","مولوگ اك بيددييووب رەفان,بي ڽو داان بوككاالەەل"
u -> o,u,o,yumi,yomi,Milieu du mot,1,yumi,yomi,يومي
i -> y,i,y,kiy,kiy,Milieu du mot,1,"bérab bu mu yelloowul; kiy jàng, na","bérab bu mu yellooul; kiy jàng, na","بێراب بو مو يەللوووول; كيي جاڠ, نا"
o -> u,o,u,ko,ku,Fin du mot,1,"ko duggal cig kàmb, walla di ci","ku duggal cig kàmb, walla di ci","كو دوگگال چيگ كامب, واللا دي چي"
o -> u,o,u,dogal,dugal,Milieu du mot,1,"ak saa, yi Baay bi dogal ci","ak saa, yi baay bi dugal ci","اك ساا, يي بااي بي دوگال چي"
o -> u,o,u,soreleen,sureleen,Milieu du mot,1,"fu ngeen bokk. Yéen ñépp soreleen ma, defkati lu bon yi!”","fu ngeen bokk. Yéen ñépp sureleen ma, defkati lu bon yi!”","فو ڠەەن بوكك. يێەن ڽێپپ سورەلەەن ما, دەفكاتي لو بون يي!”"
i -> y,i,y,indiwuleen,yidooleen,Début du mot,0,ya ak Farisen ya laaj leen ne: «Lu tax indiwuleen ko?»,ya ak Farisen ya laaj leen ne: «Lu tax yidooleen ko?»,يا اك فاريسەن يا لااج لەەن نە: «لو تاخ ينديوولەەن كو?»
u -> o,u,o,yum,yom,Milieu du mot,1,yum,yom,يوم
o -> u,o,u,ndogalu,ndugalu,Milieu du mot,2,"Waaye bu fekkee ne ndogalu Yàlla la,","Waaye bu fekkee ne ndugalu Yàlla la,","واايە بو فەككەە نە ندوگالو ياللا لا,"
o -> u,o,u,wottu,wuttu,Milieu du mot,1,doon wottu alalu Erodd; ak Susànn ak,doon wuttu alalu Erodd; ak sosann ak,دوون ووتتو الالو ەرودد; اك سوسانن اك
u -> o,u,o,Susànn,sosann,Milieu du mot,1,doon wottu alalu Erodd; ak Susànn ak,doon wuttu alalu Erodd; ak sosann ak,دوون ووتتو الالو ەرودد; اك سوسانن اك
o -> u,o,u,"feebaroon,","feebaruon,",Milieu du mot,6,"feebaroon, bay bëgg a dee.","feebaruon, bay bëgg a dee.","فەەباروون, باي بێگگ ا دەە."
u -> o,u,o,"xutbakat,","xotbakat,",Milieu du mot,1,"daldi jib. Ñenn ca xutbakat, ya bokk","daldi jib. Ñenn ca xotbakat, ya bokk","دالدي جيب. ڽەنن چا خوتباكات, يا بوكك"
o -> u,o,u,jombaate,jumbaate,Milieu du mot,1,jombaate,jumbaate,جومبااتە
o -> u,o,u,sore,sure,Milieu du mot,1,"Ci kaw loolu ñu daldi ñaan Yeesu, mu sore seen réew.","ci kaw loolu ñu daldi ñaan yeesu, mu sure seen.réew.","چي كاو لوولو ڽو دالدي ڽاان يەەسو, مو سورە سەەن رێەو."
o -> u,o,u,sonal.,sunal.,Milieu du mot,1,te ñaanal ñi leen di sonal.,te ñaanal ñi leen di sunal.,تە ڽاانال ڽي لەەن دي سونال.
o -> u,o,u,Korasin,Kurasin,Milieu du mot,1,"«Dingeen torox, yéen waa Korasin ak waa","«Dingeen torox, yéen waa Kurasin ak waa","«ديڠەەن توروخ, يێەن واا كوراسين اك واا"
o -> u,o,u,ko,ku,Fin du mot,1,"tool ya, sëf ko bant, ba ñuy","tool ya, sëf ku bant, ba ñuy","توول يا, سێف كو بانت, با ڽوي"
o -> u,o,u,doy,duy,Milieu du mot,1,"Bu taalibe yemee ak kilifaam demin, doy","Bu taalibe yemee ak kilifaam demin, duy","بو تااليبە يەمەە اك كيليفاام دەمين, دوي"
o -> u,o,u,ko,ku,Fin du mot,1,leen ko defal; ndaxte loolu moo ëmb,leen ku defal; ndaxte loolu moo ëmb,لەەن كو دەفال; نداختە لوولو موو ێمب
o -> u,o,u,"tooñ,","tuuñ,",Milieu du mot,1,"Kon nanu bàyyee tegante tooñ, waaye nu","kon nanu bàyyee tegante tuuñ, waaye nu","كون نانو باييەە تەگانتە تووڽ, واايە نو"
o -> u,o,u,"tooñ,","tuuñ,",Milieu du mot,2,"Kon nanu bàyyee tegante tooñ, waaye nu","kon nanu bàyyee tegante tuuñ, waaye nu","كون نانو باييەە تەگانتە تووڽ, واايە نو"
o -> u,o,u,ko,ku,Milieu du mot,1,Ca gannaaw ëllëg sa ñu fekk ko,ca gannaaw ëllëg sa ñu fekk ku,چا گاننااو ێللێگ سا ڽو فەكك كو
u -> o,u,o,kureelu,koreelu,Milieu du mot,1,Li ma indi ci kureelu àttekat yii,li ma indi ci koreelu àttekat yiy,لي ما يندي چي كورەەلو اتتەكات ييي
i -> y,i,y,yii,yiy,Milieu du mot,2,Li ma indi ci kureelu àttekat yii,li ma indi ci koreelu àttekat yiy,لي ما يندي چي كورەەلو اتتەكات ييي
o -> u,o,u,ko,ku,Fin du mot,1,"nag, nga teg ko ni ku gëmul Yàlla mbaa ab juutikat.","yag, nga teg ku ni ko gëmul Yàlla mbaa ab juutikat.","ناگ, ڠا تەگ كو ني كو گێمول ياللا مباا اب جووتيكات."
u -> o,u,o,ku,ko,Fin du mot,1,"nag, nga teg ko ni ku gëmul Yàlla mbaa ab juutikat.","yag, nga teg ku ni ko gëmul Yàlla mbaa ab juutikat.","ناگ, ڠا تەگ كو ني كو گێمول ياللا مباا اب جووتيكات."
u -> o,u,o,tuuti,tooti,Milieu du mot,1,a tuuti ci jiwu yépp;,a tooti ci jiwu yépp;,ا تووتي چي جيوو يێپپ;
u -> o,u,o,tuuti,tooti,Milieu du mot,2,a tuuti ci jiwu yépp;,a tooti ci jiwu yépp;,ا تووتي چي جيوو يێپپ;
i -> y,i,y,"mii,","miy,",Milieu du mot,2,"rëb mii, ndaxte amul dara lu ko waral.»","rëb miy, ndaxte amul dara lu ko waral.»","رێب ميي, نداختە امول دارا لو كو وارال.»"
u -> o,u,o,ñurumtoo,ñoromtoo,Milieu du mot,1,"Yawut ya tàmbali di ñurumtoo Yeesu, ndaxte","yawut ya tàmbali di ñoromtoo yeesu, ndaxte","ياووت يا تامبالي دي ڽورومتوو يەەسو, نداختە"
u -> o,u,o,ñurumtoo,ñoromtoo,Milieu du mot,3,"Yawut ya tàmbali di ñurumtoo Yeesu, ndaxte","yawut ya tàmbali di ñoromtoo yeesu, ndaxte","ياووت يا تامبالي دي ڽورومتوو يەەسو, نداختە"
o -> u,o,u,sog,sug,Milieu du mot,1,Yeesu itam sog a dem te kenn yégu ko; siiwalul demam.,Yeesu itam sug a dem te kenn yégu ko; Siiwalul demam.,يەەسو يتام سوگ ا دەم تە كەنن يێگو كو; سييوالول دەمام.
u -> o,u,o,Pusol.,posul.,Milieu du mot,1,"daldi jóg, te ca ñaareelu fan ba nu teer Pusol.","Yàldi jóg, te ca ñaareelu fan ba nu teer posul.","دالدي جۆگ, تە چا ڽاارەەلو فان با نو تەەر پوسول."
o -> u,o,u,Pusol.,posul.,Milieu du mot,3,"daldi jóg, te ca ñaareelu fan ba nu teer Pusol.","Yàldi jóg, te ca ñaareelu fan ba nu teer posul.","دالدي جۆگ, تە چا ڽاارەەلو فان با نو تەەر پوسول."
u -> o,u,o,surga,sorga,Milieu du mot,1,surga bu baax nga te takku. Gannaaw,sorga bu baax nga te takku. Gannaaw,سورگا بو بااخ ڠا تە تاككو. گاننااو
o -> u,o,u,jortoon,jurtoon,Milieu du mot,1,jortoon,jurtoon,جورتوون
i -> y,i,y,yiw;,yiw;,Milieu du mot,1,aw yiw; mu ngi ak yaw.»,waw yiw; mu ngi ak yaw.»,او ييو; مو ڠي اك ياو.»
i -> y,i,y,yii.»,yiy.»,Milieu du mot,2,mbir yu gën a réy yii.»,mbir yu gën a réy yiy.»,مبير يو گێن ا رێي ييي.»
o -> u,o,u,jàngoro,jànguru,Milieu du mot,4,"jàngoro yi di leen bàyyi, rab yay génn ci ñoom.","jànguru yi di leen bàyyi, rab yay génn ci ñoom.","جاڠورو يي دي لەەن باييي, راب ياي گێنن چي ڽووم."
o -> u,o,u,jàngoro,jànguru,Fin du mot,6,"jàngoro yi di leen bàyyi, rab yay génn ci ñoom.","jànguru yi di leen bàyyi, rab yay génn ci ñoom.","جاڠورو يي دي لەەن باييي, راب ياي گێنن چي ڽووم."
u -> o,u,o,ku,ko,Fin du mot,1,Musaa nag di ku yeewu ci xam-xamu,Musaa nag di ko yeewu ci xam-xamu,موساا ناگ دي كو يەەوو چي خام-خامو
u -> o,u,o,kureelu,koreelu,Milieu du mot,1,Yude. Yuusufaa nga bokkoon ca kureelu àttekat,Yude. Yuusufaa nga bokkoon ca koreelu àttekat,يودە. يووسوفاا ڠا بوككوون چا كورەەلو اتتەكات
u -> o,u,o,fasuwoon,fasooun,Milieu du mot,3,fasuwoon,fasooun,فاسوووون
o -> u,o,u,fasuwoon,fasooun,Milieu du mot,5,fasuwoon,fasooun,فاسوووون
i -> y,i,y,ñii,ñiy,Fin du mot,2,Booba nag ñii ñoo ànd ak moom:,booba nag ñiy ñoo and ak moom:,بووبا ناگ ڽيي ڽوو اند اك مووم:
o -> u,o,u,loosam,luusam,Milieu du mot,1,loosam,luusam,لووسام
o -> u,o,u,loosam,luusam,Milieu du mot,2,loosam,luusam,لووسام
y -> i,y,i,Yulyus,Yuliws,Milieu du mot,3,Ca ëllëg sa nu teer Sidon; Yulyus,ca ëllëg sa nu teer sidon; Yuliws,چا ێللێگ سا نو تەەر سيدون; يوليوس
i -> y,i,y,biir!,biyr!,Milieu du mot,2,sunu biir! Yàlla wallusi na mbooloom!»,Yunu biyr! Yàlla wàllusi na mbooloom!»,سونو بيير! ياللا واللوسي نا مبوولووم!»
o -> u,o,u,"sago,","sagu,",Milieu du mot,3,"mi ak sago, nu dénk leen liggéey bii.","mi ak sagu, nu dénk leen liggéey bii.","مي اك ساگو, نو دێنك لەەن ليگگێەي بيي."
o -> u,o,u,dogu,dugu,Milieu du mot,1,Keroog la njiiti Yawut ya dogu ci rey Yeesu.,keroog la njiiti yawut ya dugu ci rey Yeesu.,كەرووگ لا نجييتي ياووت يا دوگو چي رەي يەەسو.
i -> y,i,y,"liir,","liyr,",Milieu du mot,2,"ay liir, ngir mu teg leen ay","ay liyr, ngir mu teg leen ay","اي ليير, ڠير مو تەگ لەەن اي"
u -> o,u,o,ku,ko,Fin du mot,1,«Bi ma ko defee ku tudd Anañas,«Bi ma ko defee ko tudd anañas,«بي ما كو دەفەە كو تودد اناڽاس
u -> o,u,o,summi,sommi,Milieu du mot,1,"ñu summi mbubb mu xonq mi, solaatal","Ñu sommi mbubb mu xonq mi, sulaatal","ڽو سوممي مبوبب مو خونق مي, سولااتال"
o -> u,o,u,solaatal,sulaatal,Milieu du mot,1,"ñu summi mbubb mu xonq mi, solaatal","Ñu sommi mbubb mu xonq mi, sulaatal","ڽو سوممي مبوبب مو خونق مي, سولااتال"
