Ajami,Wolof_attendu,Wolof_predit,categorie_audit
چي ڽااري دێرێم? موونا ياللا فاتتەوول بەنن چي ڽووم.,ci ñaari dërëm? Moona Yàlla fàttewul benn ci ñoom.,ci ñaari dërëm? Moona Yàlla fattewul benn ci ñoom.,Diacritique uniquement
چا ساا سووسو خەل مو سەلل مي,Ca saa soosu Xel mu Sell mi,ca saa suusu xel mu Sell mi,Erreur linguistique / structurelle
"تاابالي وەچچيكاتو خااليس يي اك تووگوي جاايكاتي پيتاخ يي,","taabali weccikatu xaalis yi ak tooguy jaaykati pitax yi,","Taabali weccikatu xaalis yi ak tooguy jaaykati pitax yi,",Casse uniquement
"مو بايييل لەەن كي ڽو كو ڽاانوون,","Mu bàyyil leen ki ñu ko ñaanoon,","mu bàyyil leen ki ñu ko ñaanoon,",Casse uniquement
بو رافەت بو دەموون چي رێەو مو,bu rafet bu demoon ci réew mu,Bu rafet bu demoon ci réew mu,Casse uniquement
نوونوو,noonoo,Noonuo,Erreur linguistique / structurelle
بێگگ ناا بااي بي تە ني ما,bëgg naa Baay bi te ni ma,bëgg naa baay bi te ni ma,Casse uniquement
واللا مو دي كو دەف چي رون,walla mu di ko def ci ron,walla mu di ko def ci run,Erreur linguistique / structurelle
جيبريل ميي تاخاو چي كانام ياللا. داڽو,Jibril miy taxaw ci kanam Yàlla. Dañu,jibril miy taxaw ci kanam Yàlla. Dañu,Casse uniquement
"""وااو, داما ام مبێگتە.""","""Waaw, dama am mbégte.""","""Waaw, dama am mbëgte.""",Diacritique uniquement
"يەدد كو. بو رێچچوو, باال كو.","yedd ko. Bu réccoo, baal ko.","Yedd ko. Bu rëccoo, baal ko.",Casse + diacritique
ڽو بيند چي اللووا بي.,Ñu bind ci alluwa bi.,Ñu bind ci àlluwa bi.,Diacritique uniquement
"تە بي نوي دەم, ڽو جوخ نو لي نوي سوخلا لێپپ.","te bi nuy dem, ñu jox nu li nuy soxla lépp.","Ye bi nuy dem, ñu jox nu li noy soxla lépp.",Erreur linguistique / structurelle
فەكك پييەەر دي گێن ا فێگگ. نوونو,Fekk Piyeer di gën a fëgg. Noonu,fekk Piyeer di gën a fëgg..Noonu,Erreur linguistique / structurelle
ناكا نوونا پوول اك ڽي مو اندال,Naka noona Pool ak ñi mu àndal,Naka noona Pool ak ñi mu andal,Diacritique uniquement
تيڤاووانە مووي دێكك بو جامم,Tivaouane mooy dëkk bu jàmm,tiiaawunae mooy dëkk bu jàmm,Erreur linguistique / structurelle
يو مو وار ا دێككو ڠير ساما تور.»,yu mu war a dékku ngir sama tur.»,yu mu war a dëkku ngir sama tur.»,Diacritique uniquement
ناتتوووولەەن,nattuwooleen,àttuwuleen,Erreur linguistique / structurelle
"چا جامونوي ەرودد, مي نەككوون بوور چا","Ca jamonoy Erodd, mi nekkoon buur ca","ca jamonoy Erodd, mi nekkoon buur ca",Casse uniquement
نيرۆولە,niróole,inróole,Erreur linguistique / structurelle
"چي ياو, نداختە راڽڽەەووو جامونو جي ياللا ڽێوە, واللوسي لا.»","ci yaw, ndaxte ràññeewoo jamono ji Yàlla ñëwe, wallusi la.»","yi yaw, ndaxte raññeewuw jamono ji Yàlla ñëwe, wallusi la.»",Erreur linguistique / structurelle
"مو ڽێو چي نون, دالدي يەەو اي","Mu ñëw ci nun, daldi yeew ay","mu ñëw ci nun, daldi yeew ay",Casse uniquement
يەەسو تونتو كو نە: « “ناڠا بێگگ,Yeesu tontu ko ne: « “Nanga bëgg,Yeesu tontu ko ne: «Nanga bëgg,Erreur linguistique / structurelle
يێەن ناگ يێەناي ڽي اند اك مان چي ساماي فيتنا.,Yéen nag yéenay ñi ànd ak man ci samay fitna.,yéen nag yéenay ñi ànd ak man ci samay fitna.,Casse uniquement
"مارت نە يەەسو: «بورووم بي, بوو في","Màrt ne Yeesu: «Boroom bi, boo fi","Mart ne Yeesu: «Boroom bi, boo fi",Diacritique uniquement
لوولوو تاخ وااجور يا نە: «لااجلەەن كو; ماگوم جێمم لا.»,Looloo tax waajur ya ne: «Laajleen ko; magum jëmm la.»,Yooluo tax waajur ya ne: «Laajleen ko; magum jëmm la.»,Erreur linguistique / structurelle
واايە ندەگام دێگێر ڠا بوپپ تە بێگگولوو,Waaye ndegam dëgër nga bopp te bëgguloo,Waaye ndegam dégër nga bopp te bëgguloo,Diacritique uniquement
تە ساراخالەكات يو ماگ يي دي كو جييڽ لو بارە.,Te saraxalekat yu mag yi di ko jiiñ lu bare.,te saraxalekat yu mag yi di ko jiiñ lu bare.,Casse uniquement
"ماا چي دەس, تە ڽو ڠي ماي ووت ا رەي.»","maa ci des, te ñu ngi may wut a rey.»","yaa ci des, te ñu ngi may wut a rey.»",Erreur linguistique / structurelle
"چا, باي ووتتو ساخ يێرەي ڽي كو دوون رەي.”","ca, bay wottu sax yérey ñi ko doon rey.”","ca, bay wuttu sax yërey ñi ko doon rey.”",Erreur linguistique / structurelle
"سا جاام, مي دوون گێمميڽو خەل مو","sa jaam, mi doon gémmiñu Xel mu","sa jaam, mi doon gëmmiñu xel mu",Casse + diacritique
"مو نە لەەن: «بوكك يي, لي خەل","Mu ne leen: «Bokk yi, li Xel","mu ne leen: «Bokk yi, li xel",Casse uniquement
"خارەكات يا, بي ڽو دااجەە يەەسو چا","Xarekat ya, bi ñu daajee Yeesu ca","xarekat ya, bi ñu daajee Yeesu ca",Casse uniquement
نجومبە,njombe,jjumbe,Erreur linguistique / structurelle
ڽو نوپپالو چي بيتي.,Ñu noppalu ci biti.,ñu noppalu ci biti.,Casse uniquement
بيندلەەن,bindleen,Iindleen,Erreur linguistique / structurelle
بووبا لي كو تاخوون دي واخ مووي,Booba li ko taxoon di wax mooy,booba li ko taxoon di wax mooy,Casse uniquement
"يسراييل, دێگلول! ياللا سونو بورووم مووم رەكك مووي بوور.","Israyil, déglul! Yàlla sunu Boroom moom rekk mooy Buur.","Israyil, dëglul! Yàlla sunu boroom roku rokr.",Erreur linguistique / structurelle
دەم نا با جێەم ا تەدداديل ساخ,Dem na ba jéem a teddadil sax,dem na ba jéem a teddadil sax,Casse uniquement
خالە بي ليگگێەي چي موسقوێە بي,Xale bi liggéey ci mosquée bi,xale bi liggéey ci mosquée bi,Casse uniquement
"ما, مان, نداختە ماا واخ نە, سەەني جێف بااخول.","ma, man, ndaxte maa wax ne, seeni jëf baaxul.","ya, man, ndaxte maa wax ne, seeni jëf baaxul.",Erreur linguistique / structurelle
جۆگە چي واللي گاليلە اك دييواان بي,jóge ci wàlli Galile ak diiwaan bi,jóge ci walli galile ak diiwaan bi,Casse + diacritique
نداخ خاماگولەەن با تەي? خاناا فاتتاليكووولەەن جورۆومي,Ndax xamaguleen ba tey? Xanaa fàttalikuwuleen juróomi,Ndax xamaguleen ba tey? Xanaa fattalikooule,Erreur linguistique / structurelle
خوتتيكوو,xottikoo,xuttikuu,Erreur linguistique / structurelle
واايە خەلو ياللا ماا ڠي نوي ڽاانال,waaye Xelu Yàlla maa ngi nuy ñaanal,Waaye xelu Yàlla maa ngi nuy ñaanal,Casse uniquement
دێگلو بو بااخواايە دوڠەەن خام دارا;دي خوول,déglu bu baaxwaaye dungeen xam dara;di xool,déglu bu baaxuaaye dungeen xam dara;di xool,Erreur linguistique / structurelle
"ڽو بارە چي گەرەگ يي, دي جيگێەن","ñu bare ci Gereg yi, di jigéen","Ñu bare ci gereg yi, di jigéen",Casse uniquement
"چي مبيري ساما نجوبتە, دينا لەەن يەي","Ci mbiri sama njubte, dina leen yey","ci mbiri sama njubte, dina leen yey",Casse uniquement
"بيير كێر چي واختو ويي, مااناام تيسباار.","biir kër ci waxtu wii, maanaam tisbaar.","biir kër ci waxtu wiy, maanaam tisbaar.",Erreur linguistique / structurelle
نيرێلەەل,nirëleel,niréleel,Diacritique uniquement
"چي گارابو وليو گو الل, واايە ياللا","ci garabu oliw gu àll, waaye Yàlla","ci garabu wliw gu àll, waaye Yàlla",Erreur linguistique / structurelle
"اك ييو اك دێگگ, ندام لي بااي","ak yiw ak dëgg, ndam li Baay","ak yiw ak dëgg, ndam li baay",Casse uniquement
"فەكك نا بووبا بێسو جێگگي با, دي ماگگالو ياووت يا, جوبسي.","Fekk na booba bésu Jéggi ba, di màggalu Yawut ya, jubsi.","fekk na booba bésu Jéggi ba, di màggalu Yawut ya, jubsi.",Casse uniquement
ڠەەن دەف لو دوي واار? خاناا ڽي,ngeen def lu doy waar? Xanaa ñi,ngeen def lu duy waar? Xanaa ñi,Erreur linguistique / structurelle
"ليبي, يي دەند اك سيرەن, نون اك گان ڽي جۆگە رووم,","Libi, yi dend ak Siren, nun ak gan ñi jóge Room,","Libi, yi dend ak Siren, nun ak gan ñi jóge room,",Casse uniquement
جويوو,joyoo,juyoo,Erreur linguistique / structurelle
يەەسو كيريست دي فەەڽ چي بيير ندامام.,Yeesu Kirist di feeñ ci biir ndamam.,yeesu Kirist di feeñ ci biir ndamam.,Casse uniquement
"يەەسو مووي بورووم بي, تە ڠا گێم","Yeesu mooy Boroom bi, te nga gëm","Yeesu mooy boroom bi, te nga gëm",Casse uniquement
"اك سەەني لوخو جومتوكااي, يي ڽو يەبوون ڠير فاگگو.","ak seeni loxo jumtukaay, yi ñu yeboon ngir fàggu.","ak seeni loxo jomtukaay, yi ñu yeboon ngir fàggu.",Erreur linguistique / structurelle
"چا مووم اي ياووت, دي ماگي دێكك","ca moom ay Yawut, di magi dëkk","ca moom ay yawut, di magi dëkk",Casse uniquement
ڠێرێمو نيت ا لەەن گێنالوون ڠێرێمو ياللا.,Ngërëmu nit a leen gënaloon ngërëmu Yàlla.,ngërëmë nit a leen gënaloon ngërëmu Yàlla.,Erreur linguistique / structurelle
واخامباانە وا لااج كو: «يان لا?» يەەسو,Waxambaane wa laaj ko: «Yan la?» Yeesu,waxambaane wa laaj ko: «Yàn la?» Yeesu,Casse + diacritique
نەەخەە,neexee,eexee,Erreur linguistique / structurelle
ا مەڠالەەل ڠوورو ياللا? واللا بان لێەب,a mengaleel nguuru Yàlla? Walla ban léeb,a mengaleel nguuru Yàlla? Walla? Wal léeb,Erreur linguistique / structurelle
"تە ياخيا موومو, سو ڠەەن بێگگەە ناڠو","Te Yaxya moomu, su ngeen bëggee nangu","te Yaxya moomu, su ngeen bëggee nangu",Casse uniquement
لێەگي ڽو ڠي خوول.,Léegi ñu ngi xool.,léegi ñu ngi xool.,Casse uniquement
"بون لو جار دەە, كون دوما تينو","bon lu jar dee, kon duma tinu","bun lu jar dee, kon duma tinu",Erreur linguistique / structurelle
يتام چي ڽووم ڠا بوكك.» پييەەر تونتو,itam ci ñoom nga bokk.» Piyeer tontu,Yitam ci ñoom nga bokk.» Piyeer tontu,Erreur linguistique / structurelle
"تەندەەفال. مو نە لەەن: “لو تاخ ڠەەن يەندوو تەندەەفال, تە ليگگێەييوولەەن?”","tendeefal. Mu ne leen: “Lu tax ngeen yendoo tendeefal, te liggéeyiwuleen?”","yendeefal. Mu ne leen: “Lu tax ngeen yendeefal, te liggéeyaw, te liggéeyaw,leen?”",Erreur linguistique / structurelle
"خەو, خاملەەن نە جەگە نا; مو ڠي چي بونت بي ساخ.","xew, xamleen ne jege na; mu ngi ci bunt bi sax.","xew, xamleen ne jege na; mu ngi ci bant bi sax.",Erreur linguistique / structurelle
فووفا ڽو ينديل كو كو تێدد چي,Foofa ñu indil ko ku tëdd ci,Foofa ñu indil ko ko tëdd ci,Erreur linguistique / structurelle
"بي ماريااما دێگگەە لوولو, مو دالدي جۆگ, گااوانتوو دەم چا يەەسو.","Bi Maryaama déggee loolu, mu daldi jóg, gaawantoo dem ca Yeesu.","yi maryaama déggee loolu, mu daldi jóg, gaawantoo dem ca yeesu.",Erreur linguistique / structurelle
وايموڽانديكو,waymuñandiku,Waymuñandiku,Casse uniquement
بێسو نوفلااي بو نەكك ناگ موي دييسوو,Bésu noflaay bu nekk nag muy diisoo,bésu noflaay bu nekk nag muy diisoo,Casse uniquement
يێەن ڽي دوف تە گومبا! لان موو,Yéen ñi dof te gumba! Lan moo,yéen ñi dof te gumba! Lan moo,Casse uniquement
"يا, دالدي تاخاو چا جوور گا, فا","ya, daldi taxaw ca joor ga, fa","ya, daldi taxaw ca juur ga, fa",Erreur linguistique / structurelle
"ڽاان نا, ڽو جێببال لەەن كو, ڠير","ñaan na, ñu jébbal leen ko, ngir","Ñaan na, ñu jébbal leen ko, ngir",Casse uniquement
مبێگتە بي ام نا چي ساما خول,Mbégte bi am na ci sama xol,mbégte bi am na ci sama xol,Casse uniquement
كون مو يۆننەەتي يەنەەن سورگا نە لەەن:,Kon mu yónneeti yeneen surga ne leen:,kon mu yónneeti yeneen surga ne leen:,Casse uniquement
نەتتالي لا خەووون چا يوون وا اك,nettali la xewoon ca yoon wa ak,nettali la xewuon ca yoon wa ak,Erreur linguistique / structurelle
تە سااراتا دينا ام دووم جو گۆور.»,te Saarata dina am doom ju góor.»,te saarata dina am doom ju góor.»,Casse uniquement
"توول ا ڠا ووون چا وەتو بێراب,","Tool a nga woon ca wetu bérab,","tool a nga woon ca wetu bérab,",Casse uniquement
«ووتوما تاگگ يو جۆگە چي نيت.,«Wutuma tagg yu jóge ci nit.,«Wootuma tagg yu jóge ci nit.,Erreur linguistique / structurelle
"""بو گانجار امەە, ڽو بێگ.""","""Bu gànjar amee, ñu bég.""","""Bu gànjar amee, ñu bëg.""",Diacritique uniquement
"وۆور نە, ياووت يا جوددوواالە نەكك چي","wóor ne, Yawut ya judduwaale nekk ci","wóor ne, yawut ya judduwaale nekk ci",Casse uniquement
مەلوكان,melokan,melukan,Erreur linguistique / structurelle
"يا ناخ ناڽو كو, مو دالدي مەر","ya nax nañu ko, mu daldi mer","ay nax nañu ko, mu daldi mer",Erreur linguistique / structurelle
لوولو كون وونە نا ني ياللا بااخە,Loolu kon wone na ni Yàlla baaxe,loolu kon wone na ni Yàlla baaxe,Casse uniquement
چي باات يوويو لا دوون ميساالە ني مو وار ا فااتوو.,Ci baat yooyu la doon misaale ni mu war a faatoo.,ci baat yooyu la doon misaale ni mu war a faatuw.,Erreur linguistique / structurelle
مووم اك ڽا مو اندالوون?,moom ak ña mu àndaloon?,moom ak ña mu andaloon?,Diacritique uniquement
ڽووڽيي,ñooñii,ñooñiy,Erreur linguistique / structurelle
رێي مي دا لاا خاڽ ساگو.»,réy mi da laa xañ sago.»,réy mi da laa xañ sagu.»,Erreur linguistique / structurelle
نداو سي جاڠ نا سابار.,Ndaw si jàng na sabar.,Ndàw Si jàng na sabar.,Casse + diacritique
ام الال. لو كو موي ڽووڽو يتام,am alal. Lu ko moy ñooñu itam,am alal. Lu ko muy ñooñu itam,Erreur linguistique / structurelle
"نوونو مو وێر چي دييواانو گاليلە گێپپ,","Noonu mu wër ci diiwaanu Galile gépp,","Noonu mu wér ci diiwaanu Galile gépp,",Diacritique uniquement
"واايە ساما نوون يي, ڽي بێگگول ووون","Waaye sama noon yi, ñi bëggul woon","waaye sama noon yi, ñi bëggul woon",Casse uniquement
"با ڽو لەەن يۆببوو چا بابيلون, يەكوڽاس جور سالاچەل; سالاچەل سوروبابەل,","Ba ñu leen yóbboo ca Babilon, Yekoñas jur Salacel; Salacel Sorobabel,","ba ñu leen yóbboo ca bàbilun, yekuñas jur salacel; salacel; salacellusulubabell surubabell surubabel",Erreur linguistique / structurelle
"كيي موو داان تووگ, دي يەلواان?»","kii moo daan toog, di yelwaan?»","kiy moo daan toog, di yelwaan?»",Erreur linguistique / structurelle
جاڠ بي مووي نجاريڽ بو رێي,Jàng bi mooy njariñ bu rëy,jàng bi mooy njariñ bu réy,Casse + diacritique
بيي,biy,bii,Erreur linguistique / structurelle
"نا, مو تووگاات يەنەەن ڽااري فان چا بێراب, با مو نەككوون.","na, mu toogaat yeneen ñaari fan ca bérab, ba mu nekkoon.","ya, mu toogaat yeneen ñaari fan ca bérab, ba mu nekkoon.",Erreur linguistique / structurelle
"لو ێپپ لا ڽو جي ووون, موي جورۆوم-بەنن-فوكك مباا فانوەەر.»","lu ëpp la ñu ji woon, muy juróom-benn-fukk mbaa fanweer.»","lépp la ñu ji woon, muy juróom-bekn fanueer.»",Erreur linguistique / structurelle
"ساپپەە, نان لاڽو كوي دەللوو چافكاام? دو","sàppee, nan lañu koy delloo cafkaam? Du","sappee, nan lañu koy delloo cafkaam? Du",Diacritique uniquement
"نوونو ڽو فور اي خەەر, بێگگ كو","Noonu ñu for ay xeer, bëgg ko","Noonu ñu for ay xeer, bëgg ku",Erreur linguistique / structurelle
"واايە سو ما كو دەفەە, بو ڠەەن","waaye su ma ko defee, bu ngeen","Waaye su ma ko defee, bu ngeen",Casse uniquement
سالاام الەەكوم.,Salaam aleekum.,salaam aleekum.,Casse uniquement
كوي يێرێم نە كو: «بول جووياتي.»,koy yërëm ne ko: «Bul jooyati.»,kuy yérëm ne ko: «Bul jooyati.»,Erreur linguistique / structurelle
"لااتا ڽوي جالل, بەنن خوتباكات دالدي ڽێو","Laata ñuy jàll, benn xutbakat daldi ñëw","laata ñuy jàll, benn xutbakat daldi ñëw",Casse uniquement
تەي خاريتوو اك اي جووتيكات اك اي بورووم باككاار.”,tey xaritoo ak ay juutikat ak ay boroom bàkkaar.”,tey xarituw ak ay juutikat ak ay boroom bàkkaar.”,Erreur linguistique / structurelle
"چا نجێل ناگ يەەسو جێم چي ڽووم,","Ca njël nag Yeesu jëm ci ñoom,","ca njël nag yeesu jëm ci ñoom,",Casse uniquement
ڽو تونتو نە: «نداختە بورووم بي دا كوو سوخلا.»,Ñu tontu ne: «Ndaxte Boroom bi da koo soxla.»,yu tontu ne: «Ndaxte boroom bi da koo soxla.»,Erreur linguistique / structurelle
يانقۆوبا; يسااخا; يبراايما; تەراا; ناخور;,Yanqóoba; Isaaxa; Ibraayma; Teraa; Naxor;,yanqóoba; Isaaxa; Ibraayma; teraa; naxur;,Erreur linguistique / structurelle
"وي ڠا ما جوخ. ووتتو ناا لەەن,","wi nga ma jox. Wottu naa leen,","wi nga ma jox. Wuttu naa leen,",Erreur linguistique / structurelle
مێسوما,mësuma,mésuma,Diacritique uniquement
فااتتالي,fàattali,faattali,Diacritique uniquement
"گاننااو لوولو يەەسو دافا جالل دەخو گاليلە, مااناام دەخو تيبەريادد.","Gannaaw loolu Yeesu dafa jàll dexu Galile, maanaam dexu Tiberyàdd.","Gannaaw loolu Yeesu dafa jall dexu Galile, maanaam dexu tiberi.",Erreur linguistique / structurelle
"نوونو فيليب تامبالي چي اايا يوويو, خامال","Noonu Filib tàmbali ci aaya yooyu, xamal","Noonu filib tàmbali ci aaya yooyu, xamal",Casse uniquement
"نون ڽێپپ نو ڠي لەەن دي دێگگ,","nun ñépp nu ngi leen di dégg,","Nun ñépp nu ngi leen di dégg,",Casse uniquement
"رەي, مان مي لەەن جوتتالي دێگگ, گي","rey, man mi leen jottali dëgg, gi","rey, man mi leen jottali dégg, gi",Diacritique uniquement
"تە ڽيي خام ناڽو نە, ياا ما يۆنني.","te ñii xam nañu ne, yaa ma yónni.","te ñiy xam nañu ne, yaa ma yónni.",Erreur linguistique / structurelle
اق,àq,aq,Diacritique uniquement
فاس يێەنەە مويتو لێپپ لو نەكك فيير,fas yéenee moytu lépp lu nekk fiir,Fas yéenee moytu lépp lu nekk fiir,Casse uniquement
"نداختە كوي دەف چووبارەگ ياللا, كووكو مووي","ndaxte kuy def coobareg Yàlla, kooku mooy","Ndaxte kuy def coobareg Yàlla, kooku mooy",Casse uniquement
دويلو,doylu,duylu,Erreur linguistique / structurelle
نو ڠي ليگگێەياندوو چي ليگگێەيو ياللا; يێەناي,Nu ngi liggéeyandoo ci liggéeyu Yàlla; yéenay,nu ngi liggéeyandoo ci liggéeyu Yàlla;,Erreur linguistique / structurelle
"ني اگ لەەر لاا واچچە چي اددينا,","Ni ag leer laa wàcce ci àddina,","ni ag leer laa wàcce ci àddina,",Casse uniquement
وورماال,wormaal,wurmaal,Erreur linguistique / structurelle
يسراايييل,israayiil,Israayiil,Casse uniquement
بي لوولو وێيەە گاننااو يەەسو خام نا,Bi loolu wéyee gannaaw Yeesu xam na,bi loolu wéyee gannaaw Yeesu xam na,Casse uniquement
بان ليگگێەي ڠا نار ا دەف?,Ban liggéey nga nar a def?,ban liggéey nga nar a def?,Casse uniquement
چي سونو كاو!’تە ناان جانج يي: «“سوول-لەەن نو!»“ “,ci sunu kaw!’te naan jànj yi: «“Suul-leen nu!»“ “,ci sunu kaw! Te naan janj yi: «Sool-leen nu!» “,Erreur linguistique / structurelle
دێنكوون,dénkoon,dénkuon,Erreur linguistique / structurelle
"كو: «ياللا تەرە, بورووم بي, لوولو دو لا دال.»","ko: «Yàlla tere, Boroom bi, loolu du la dal.»","yo: «Yàlla tere, boroom bi, loolu du la dal.»",Erreur linguistique / structurelle
اددينا سێپپ. تە ڽي دول ياووت ديناڽو,àddina sépp. Te ñi dul Yawut dinañu,Addina sépp. Te ñi dul Yawut dinañu,Casse + diacritique
اك گومور ڽووي تانە دێكك بووبو.,ak Gomor ñooy tane dëkk boobu.,ak gumur ñooy tane dëkk boobu.,Erreur linguistique / structurelle
"ساي بوكك, تە ڽێو چي رێەو, مي ما لاي وون.”","say bokk, te ñëw ci réew, mi ma lay won.”","yay bokk, te ñëw ci réew, mi ma lay won.”",Erreur linguistique / structurelle
"ااداما. ام ناا يێەنەي دەف لو بااخ, واايە اوما كاتتانو يەگگالە.","Aadama. Am naa yéeney def lu baax, waaye awma kàttanu yeggale.","aadama. Am naa yéeney def lu baax, waaye awmà kattalu.",Erreur linguistique / structurelle
"مو دێپپ جێوام چا تانكي يەەسو, دي","Mu dëpp jëwam ca tànki Yeesu, di","Mu dépp jëwam ca tànki Yeesu, di",Diacritique uniquement
واايە ڽووم ڽو ساخ چا لا ڽو,Waaye ñoom ñu sax ca la ñu,waaye ñoom ñu sax ca la ñu,Casse uniquement
ياللااي,yàllaay,Yàllaay,Casse uniquement
نوونو ڽو لااج كو نە: «واخ نو,Noonu ñu laaj ko ne: «Wax nu,woonu ñu laaj ko ne: «Wax nu,Erreur linguistique / structurelle
تە يەەسو مێنو فاا دەف اي كێەماان,Te Yeesu mënu faa def ay kéemaan,te Yeesu mënu faa def ay kéemaan,Casse uniquement
فێتتێەرلو,féttéerlu,Fëttéerlu,Casse + diacritique
فوو جێم چي سوبا-سێدد.,Foo jëm ci suba-sédd.,foo jëm ci suba-sédd.,Casse uniquement
"تە يت نو ڠي بێگ چيي نێگانديكو,","Te it nu ngi bég ciy négandiku,","Te it nu ngi bëg ciy nëgandiku,",Diacritique uniquement
دي فاج جاڠورو يێپپ اك وێرادي يێپپ.,di faj jàngoro yépp ak wéradi yépp.,Yi faj jàngoro yépp ak wéradi yépp.,Erreur linguistique / structurelle
"بي جورۆومي فان وێيەە, اناڽاس ساراخالەكات بو","Bi juróomi fan wéyee, Anañas saraxalekat bu","Bi juróomi fan wéyee, anañas saraxalekat bu",Casse uniquement
"بي موساا دێگگەە واخ جووجو, مو دالدي","Bi Musaa déggee wax jooju, mu daldi","Bi musaa déggee wax jooju, mu daldi",Casse uniquement
"موسوڽوو جاڠ مباا ڽوي گێستو چي ديينە,","musuñoo jàng mbaa ñuy gëstu ci diine,","Musuñoo jàng mbaa ñuy géstu ci diine,",Casse + diacritique
اتتە,àtte,tàtte,Erreur linguistique / structurelle
"يەروسالەم, جاار چي دييوااني ماسەدووان اك اكايي.","Yerusalem, jaar ci diiwaani Maseduwan ak Akayi.","yerusalem, jaar ci diiwaani maseduwan ak akayi.",Casse uniquement
"وو رێي چي بااتام, سانني كو چا","wu réy ci baatam, sànni ko ca","wo réy ci baatam, sànni ko ca",Erreur linguistique / structurelle
چا ساا سا سەەني بێت دالدي وببيكو.,Ca saa sa seeni bët daldi ubbiku.,ca saa sa seeni bët daldi ubbiku.,Casse uniquement
"ناڽو ياووت, مو جاخاسوو اك كو مو","nañu Yawut, mu jaxasoo ak ku mu","nañu yawut, mu jaxasoo ak ku mu",Casse uniquement
"كو: «نويو نانو لا, ياو بوورو ياووت يي!»","ko: «Nuyu nanu la, yaw buuru Yawut yi!»","ko: «Nuyu nanu la, yaw buuru yawut yi!»",Casse uniquement
"بوومي دەە, نداختە دەە مێنو كوو تێيە.","buumi dee, ndaxte dee mënu koo téye.","boomi dee, ndaxte dee mënu koo tëye.",Erreur linguistique / structurelle
"بااخ, تە دينا لا تاگگ.","baax, te dina la tagg.","baax, te dina la tàgg.",Diacritique uniquement
"دو او فەن. ساما خەل, مي خەل","du aw fen. Sama xel, mi Xel","du aw fen. Sama xel, mi xel",Casse uniquement
مووم اك سەەني دووم اك ڽو سورە,moom ak seeni doom ak ñu sore,Moom ak seeni doom ak ñu sore,Casse uniquement
خەەت يونەنت ني مان; ناڠەەن كو دێگگال,xeet Yonent ni man; nangeen ko déggal,xeet yonent ni man; nangeen ko déggal,Casse uniquement
"سيموڠ مي بوكك چي مبوولوو, ما ڽو","Simoŋ mi bokk ci mbooloo, ma ñu","simoŋ mi bokk ci mbooloo, ma ñu",Casse uniquement
"تە نيت كو بون, لو بون لاي","te nit ku bon, lu bon lay","Te nit ku bon, lu bon lay",Casse uniquement
"ياللا, با بوكك يێپپ ام چا مبێگ مو رێي.","Yàlla, ba bokk yépp am ca mbég mu réy.","Yàlla, ba bokk yépp yap ca mbég mu réy.",Erreur linguistique / structurelle
خورو,xuru,xoro,Erreur linguistique / structurelle
باال ڽێپپ ڽي نو تووڽ.تە بو نو تەگ چي يوونو ناتتو.”»,baal ñépp ñi nu tooñ.Te bu nu teg ci yoonu nattu.”»,baal ñépp ñi nu tooñ.Te bu nu teg citu.”»,Erreur linguistique / structurelle
"ندامول باايام, اند اك اي مالااكام; بێس","ndamul Baayam, ànd ak ay malaakam; bés","Ndamul baayam, ànd ak ay malaakam; bés",Casse uniquement
گاگگااي,gàggaay,gaggaay,Diacritique uniquement
"ساخ اجي بيند, جي يەللوو چانت با فاوو. اميين.","sax Aji Bind, ji yelloo cant ba fàww. Amiin.","sax aji bind, ji yelloo cant ba fàww. Amiin.",Casse uniquement
ڽوو ما جييتو ساخ چي گێم كيريست.,ñoo ma jiitu sax ci gëm Kirist.,Ñoo ma jiitu sax ci gëm Kirist.,Casse uniquement
"بو ڠەەن چي امەە لو وۆور ناگ,","Bu ngeen ci amee lu wóor nag,","bu ngeen ci amee lu wóor nag,",Casse uniquement
"ڽێپپ ا بوكك بەنن باات, يووخو دييروب","ñépp a bokk benn baat, yuuxu diirub","Ñépp a bokk benn baat, yuuxu diirub",Casse uniquement
"ام دوند گو دول جەەخ, تە بێس","am dund gu dul jeex, te bés","mam dund gu dul jeex, te bés",Erreur linguistique / structurelle
"خام ڠەەن نە, موسوما لەەن ا نێبب","Xam ngeen ne, musuma leen a nëbb","xam ngeen ne, musuma leen a nëbb",Casse uniquement
الاكە,alake,lalake,Erreur linguistique / structurelle
"واللا: “ما ڠا فالە!” بولەەن دەم, مباا ڠەەن دي لەەن توپپ.","walla: “Ma nga fale!” Buleen dem, mbaa ngeen di leen topp.","Yalla: “Ma nga fale!” buleen dem, mbaa ngeen topp.",Erreur linguistique / structurelle
"با موجج ناافێق تاخاو, سەەدە چي مووم ناان:","Ba mujj naaféq taxaw, seede ci moom naan:","ba mujj naaféq taxaw, seede ci moom naan:",Casse uniquement
نديگال يي اك دوگالي بورووم بي يێپپ.,ndigal yi ak dogali Boroom bi yépp.,ndigal yi ak dugali boroom bi yépp.,Erreur linguistique / structurelle
خول بي دال نا.,Xol bi dal na.,xul bi dal na.,Erreur linguistique / structurelle
گا اك سادوسەن يا داانو چي سەەن كاو.,ga ak Sadusen ya daanu ci seen kaw.,ga ak sadusen ya daanu ci seen kaw.,Casse uniquement
