Ajami,Wolof_attendu,Wolof_predit,categorie_detaillee,substitutions,insertions,suppressions,correspondances,confusions
نديگال يي اك دوگالي بورووم بي يێپپ.,ndigal yi ak dogali Boroom bi yépp.,ndigal yi ak dugali boroom bi yépp.,Substitution,2,0,0,33,"B->b, o->u"
خول بي دال نا.,Xol bi dal na.,xul bi dal na.,Substitution,2,0,0,12,"o->u, X->x"
"رەكك, واايە يت دينا داانەەل ماگگالوكاايو ارتەميس","rekk, waaye it dina daaneel màggalukaayu Artemis","rekk, waaye it dina daaneel màggalukaayu àrttemis",Substitution + insertion,1,1,0,47,A->à
"يندي يەنەەن جورۆوم ناان: “كيليفا گي, دێنك","indi yeneen juróom naan: “Kilifa gi, dénk","niddi yeneen juróom naan: “Kilifa gi, dënk",Substitution + insertion,2,1,0,39,"é->ë, n->d"
"ڽوي واخ يسوب, تەگ كو چي گێمميڽو يەەسو.","ñuy wax isob, teg ko ci gémmiñu Yeesu.","Ñuy wax Isub, teg ku ci gémmiñu Yeesu.",Substitution,4,0,0,34,"o->u, o->u, i->I, ñ->Ñ"
خول يي فەەس نا.,Xol yi fees na.,xul yi fees na.,Substitution,2,0,0,13,"o->u, X->x"
"ڽي جوگگي چي, پيچچي اساماان لەكك كو لێپپ.","ñi joggi ci, picci asamaan lekk ko lépp.","Ñi juggi ci, picci asamaan lekk ku lépp.",Substitution,3,0,0,37,"o->u, o->u, ñ->Ñ"
"پيلاات تونتو لەەن: «املەەن, اي ووتتوكات ا","Pilaat tontu leen: «Amleen, ay wottukat a","Pilaat tontu leen: «Amleen, ay wuttukat a",Substitution,1,0,0,40,o->u
رێەو مي; مان كێلۆدد ليسيياس ماا ڠي لاي نويو.,réew mi; man Këlódd Lisiyas maa ngi lay nuyu.,réew mi; man këlódd lisiias maa ngi lay nuyu.,Substitution,3,0,0,42,"y->i, L->l, K->k"
ڠوور ييي اك سەەن ندام نداختە جێببال,nguur yii ak seen ndam ndaxte jébbal,nguur yiy ak seen ndax ndaxte jébbal,Substitution,2,0,0,34,"m->x, i->y"
يت پييەەر; فەكك لوولو داجە اك بێسي,it Piyeer; fekk loolu daje ak bési,tit Piyeer; fekk loolu daje ak bési,Insertion,0,1,0,34,
"نداخ جاادو نا, نو فەي بوور بي سەساار گالاگ واللا دێەت?»","ndax jaadu na, nu fey buur bi Sesaar galag walla déet?»","ydax jaadu na, nu fey buur bi sesaar galag wélla déet?»",Substitution,3,0,0,52,"a->é, S->s, n->y"
"سووف داي مەڽڽ مووم چي بوپپام, مو","Suuf day meññ moom ci boppam, mu","Yuuf day meññ moom ci boppam, mu",Substitution,1,0,0,31,S->Y
نەرر,nerr,err,Suppression,0,0,1,3,
نوسە,nose,Nuse,Substitution,2,0,0,2,"o->u, n->N"
داانو چي سووف تە سووبول سەەن بااي.,daanu ci suuf te soobul seen Baay.,daanu ci suuf te suubul seen baay.,Substitution,3,0,0,31,"B->b, o->u, o->u"
"ا فاڠاارال دوگگ چيب دێكك, واايە مو","a faŋaaral dugg cib dëkk, waaye mu","Ya fàngaaral dugg cib dëkk, waaye mu",Substitution + insertion,2,2,0,32,"ŋ->g, a->n"
"بي لوولو امەە يەەسو جۆگە فووفا, دوگگ چي سەەن جاڠو,","Bi loolu amee Yeesu jóge foofa, dugg ci seen jàngu,","Bi loolu amee Yeesu jóge foofa, dugg càngu,",Suppression,0,0,8,43,
گو ڽوي واخ تيبەريادد. نيي لا دەمە ووون:,gu ñuy wax Tiberyàdd. Nii la deme woon:,yu ñuy wax tiberiadd. Nii la deme woon:,Substitution,4,0,0,35,"à->a, y->i, T->t, g->y"
كو كو. تە ڠەەن رووف اب جاارو,ko ko. Te ngeen roof ab jaaro,ku ko. Te ngeen rouf ab jaaru,Substitution,3,0,0,26,"o->u, o->u, o->u"
كي كوي وور دينا توروخ. باڽوون ا,ki koy wor dina torox. Bañoon a,ki koy wor dina turox. Bañoon a,Substitution,1,0,0,30,o->u
"لەەن, نداختە داڽوو سونن با نە يوگگ,","leen, ndaxte dañoo sonn ba ne yogg,","leen, ndaxte dañoo sunn ba ne yugg,",Substitution,2,0,0,33,"o->u, o->u"
"ساما كااس, واايە تووگ چي ساما ندەيجوور","sama kaas, waaye toog ci sama ndeyjoor","Yama kaas, waaye toog ci sama ndeyjoor",Substitution,1,0,0,37,s->Y
ادديناي,àddinay,dàddinay,Insertion,0,1,0,7,
نجاببوتام,njabbotam,jjabbutam,Substitution,2,0,0,7,"o->u, n->j"
ويي? نو ڠەەن خامە ناگ لێەب يي چي دەس?,wii? Nu ngeen xame nag léeb yi ci des?,wiy? Nu ngeen xame nag léeb yi ci des?,Substitution,1,0,0,37,i->y
مەلوو,melow,meloo,Substitution,1,0,0,4,w->o
"نيي.» بووبا لا كو تااليبە با يۆببو كێرام, يور كو.","nii.» Booba la ko taalibe ba yóbbu këram, yor ko.","nii.» Booba la ko taalibe ba yóbbu këram, yur ko.",Substitution,1,0,0,48,o->u
يددا,idda,didda,Insertion,0,1,0,4,
"بێگگە, نداختە باككانو نيت اجووول چي الالام, اك لو مو بارەە-بارە.»","bëgge, ndaxte bakkanu nit ajuwul ci alalam, ak lu mu baree-bare.»","yégge, ndaxte bàkkanu nit ajooul ci alalam, ak lu mu baree-bare.»",Substitution,5,0,0,60,"w->o, u->o, a->à, ë->é, b->y"
گيلە,gile,yile,Substitution,1,0,0,3,g->y
خاناا نداخ نو دەم جێندال مبوولوو ميي لو ڽو لەكك?»,Xanaa ndax nu dem jëndal mbooloo mii lu ñu lekk?»,xanaa ndax nu dem jëndal mbooloo miy lu ñu luklukalu?»,Substitution + insertion,3,5,0,46,"e->u, i->y, X->x"
بانني يسراييل تە خامولوو مبير ييي?,bànni Israyil te xamuloo mbir yii?,banni Israyil te xamuloo mbir yiy?,Substitution,2,0,0,32,"i->y, à->a"
يێەنا ڠي واخ نە: “كو گيڽە كێر,Yéena ngi wax ne: “Ku giñe kër,éeena ngi wax ne: “Ku giñe kër,Substitution,2,0,0,28,"é->e, Y->é"
"بااخ, فەكك داڠەەن بون? نداختە گێمميڽ, لا فەەس خول لاي واخ.","baax, fekk dangeen bon? Ndaxte gémmiñ, la fees xol lay wax.","baax, fekk dangeen bun? Ndaxte gëmmiñ, la fees xol lay wax.",Substitution,2,0,0,57,"é->ë, o->u"
"چا دەس دێگگ ناڽو لوولو, ڽو دالدي مەرە سااگ اك يوواانا.","ca des dégg nañu loolu, ñu daldi mere Saag ak Yowaana.","ca des dégg nañu loolu, ñu daldi mere saag ak yuwaana.",Substitution,3,0,0,51,"o->u, Y->y, S->s"
"چي كاو لوولو سوول, مي تودد يت","Ci kaw loolu Sool, mi tudd it","ci kaw loolu suul, mi tudd it",Substitution,4,0,0,25,"o->u, o->u, S->s, C->c"
"كو لا گا, ڠا يەنول كو دوخوب","Ku la ga, nga yenul ko doxub","ku la ga, nga yenul ko doxob",Substitution,2,0,0,26,"u->o, K->k"
جاڠ ليي چي مبيند يي?“دوج وي تاباخكات,jàng lii ci Mbind yi?“Doj wi tabaxkat,jàng liy ci mbind yi?“Doj wi tabaxkat,Substitution,2,0,0,35,"M->m, i->y"
"بي مو كو واخەە, اگاريپا نە پوول:","Bi mu ko waxee, Agaripa ne Pool:","yi mu ko waxee, agaripa ne pool:",Substitution,3,0,0,29,"P->p, A->a, B->y"
"ييي, ڽاان چي ياللا رەكك ا لەەن دي داق.»","yii, ñaan ci Yàlla rekk a leen di dàq.»","yiy, ñaan ci Yàlla rekk a leen di dàq.»",Substitution,1,0,0,38,i->y
نداخ ياا دي يليياس?» مو نە لەەن:,Ndax yaa di Iliyas?» Mu ne leen:,Yàx yaa di Iliyas?» Mu ne leen:,Substitution + suppression,2,0,1,29,"a->à, d->Y"
جێييا,jéyya,jéyia,Substitution,1,0,0,4,y->i
ما وەددي ڽەتتي يوون.» مو دالدي جووي جووي يو مەتتي.,ma weddi ñetti yoon.» Mu daldi jooy jooy yu metti.,ya weddi ñetti yoon.» Mu daldi jooy juuy yu metti.,Substitution,3,0,0,47,"o->u, o->u, m->y"
"ناڽو لوولو, ڽو دالدي واارو لوول نە","nañu loolu, ñu daldi waaru lool ne","Aañu loolu, ñu daldi waaru luul ne",Substitution,3,0,0,31,"o->u, o->u, n->A"
"اك سەگوند, ڽي دێكك تەسالونيگ; گايوس, مي","ak Segond, ñi dëkk Tesalonig; Gayus, mi","ak segund, ñi dëkk tesalunig; gayus, mi",Substitution,5,0,0,34,"G->g, o->u, T->t, o->u, S->s"
"ڠەلاو لي, نداختە ڠەلاو لي دا نوو سوفلو.","ngelaw li, ndaxte ngelaw li da noo soflu.","ngelaw li, ndaxte ngelaw li da noo suflu.",Substitution,1,0,0,40,o->u
ياي,yaay,yay,Suppression,0,0,1,3,
"نە كو: «لو تاخ نوي ووور, نون","ne ko: «Lu tax nuy woor, nun","ne ko: «Lu tax nuy wuur, nun",Substitution,2,0,0,26,"o->u, o->u"
"سي گومبا گي گيس, دالدي توپپ يەەسو چي يوون وي.","si gumba gi gis, daldi topp Yeesu ci yoon wi.","si gumba gi gis, daldi topp yeesu ci.",Substitution + suppression,1,0,8,36,Y->y
"ام نا ڽاار ڽو لەەن فەەڽو, سول يێرە يوي مەلاخ.","am na ñaar ñu leen feeñu, sol yére yuy melax.","yam na ñaar ñu leen feeñu, sul yére yuy melax.",Substitution + insertion,1,1,0,44,o->u
"كو خامول نە, دێككو ەفەس موو دي","ku xamul ne, dëkku Efes moo di","ko xamul ne, dëkku Efes moo di",Substitution,1,0,0,29,u->o
"مي, بايييل لەەن باراباس, با نوپپي مو","mi, bàyyil leen Barabas, ba noppi mu","yi, bàyyil leen barabas, ba noppi mu",Substitution,2,0,0,34,"B->b, m->y"
"ڽو راببە كاوارو گيلێەم, تاكك گەڽوگ دەر","ñu ràbbe kawaru giléem, takk geñog der","Ñu rabbe kawaru Gilëem, takk geñug der",Substitution,5,0,0,33,"o->u, é->ë, g->G, à->a, ñ->Ñ"
"چا گێەو, با ڽوي واخ ارەيوپاس. ڽو","ca géew, ba ñuy wax Areyopas. Ñu","ca géew, ba ñuy wax areyupas. Ñu",Substitution,2,0,0,30,"o->u, A->a"
"واا ەلام, نون ڽي دێكك مەسوپوتامي, رێەوو","waa Elam, nun ñi dëkk Mesopotami, réewu","Waa elam, nun ñi dëkk Mesuputami, réewu",Substitution,4,0,0,35,"o->u, o->u, E->e, w->W"
"نيي لا دوون واارەە: «تووبلەەن سەەني باككاار,","Nii la doon waaree: «Tuubleen seeni bàkkaar,","niy la doon waaree: «Tuubleen seeni bàkkaar,",Substitution,2,0,0,42,"i->y, N->n"
واايە ليي لا كو ياللا تونتو: «دەنچال,Waaye lii la ko Yàlla tontu: «Dencal,Waaye liy la ko Yàlla tontu: «Dencal,Substitution,1,0,0,35,i->y
بااخ بوي يندي مبێگ مو رێي چي نيت ڽێپپ.,baax buy indi mbég mu réy ci nit ñépp.,Yaax buy yindi mbëg mu réy ci nit ñépp.,Substitution + insertion,2,1,0,36,"é->ë, b->Y"
ماي وار ا فێەتەووو چي ندونو لي.”,may war a féetewoo ci ndono li.”,may war a féetewuw ci ndonu li.”,Substitution,3,0,0,29,"o->u, o->w, o->u"
فەكك ڽوي روب نێەو بوو خام نە,fekk ñuy rob néew boo xam ne,fekk ñuy rub néew boo xam ne,Substitution,1,0,0,27,o->u
"يسراييل اك ساما ڽاان چي ياللا, مووي ڽو موچچ.","Israyil ak sama ñaan ci Yàlla, mooy ñu mucc.","ysrayil ak sama ñaan ci Yàlla, mooy ñu mucc.",Substitution,1,0,0,43,I->y
"ساراخالەكات, يا اسكانوو چي ابييا. جابارام ەليسابەت","saraxalekat, ya askanoo ci Abiya. Jabaram Elisabet","saraxalekat, ya askanuo ci abiia. Jabaram Elisabet",Substitution,3,0,0,47,"y->i, A->a, o->u"
"موو اموون بێكك-نێەگ بو ڽو جييڽ نە, دافاي پاسار-پاسارەە الال جي.","moo amoon bëkk-néeg bu ñu jiiñ ne, dafay pasar-pasaree alal ji.","yoo amoon bëkk-néeg bu ñu jiiñ ne, dafay pasar-palarareralararee alarerala.",Substitution + insertion,6,12,0,57,"i->a, j->l,  ->a, l->r, s->r, m->y"
"نداختە خام نانو نە, تارييخا بووبا, كەنن جوبلووو كو فەنن.»","ndaxte xam nanu ne, tariixa booba, kenn jubluwu ko fenn.»","yànte xam nanu ne, tariixa booba, kenn jubloo ko fenn.»",Substitution + suppression,5,0,2,50,"u->o, w->o, x->n, a->à, d->y"
"تووي گي, لو ڽوي دەف گاراب گو ووو گي?»","tooy gi, lu ñuy def garab gu wow gi?»","wooy gi, lu ñuy def garab gu woo gi?»",Substitution,2,0,0,35,"w->o, t->w"
"نوپپي مبوولووم ڽي گێم چي يەروسالەم, ڽو يەبال بارناباس با انچوس.","noppi mbooloom ñi gëm ci Yerusalem, ñu yebal Barnabas ba Ancos.","noppi mbooloom ñi gëm ci Yerusalem, ñu yebal bar Ma àncos.",Substitution + suppression,3,0,5,55,"A->à, b->M, s->r"
سوو دەە لەكك لوي ينديل سا مورووم,Soo dee lekk luy indil sa moroom,soo dee lekk luy yidil sa moroom,Substitution,3,0,0,29,"n->i, i->y, S->s"
واايە وارونوو يەمالە تووڽو ااداما اك مايو,Waaye warunoo yemale tooñu Aadama ak mayu,waaye warunuo yemale tooñu aadama ak mayu,Substitution,3,0,0,38,"A->a, o->u, W->w"
توپپاتوو,toppatoo,toppatuo,Substitution,1,0,0,7,o->u
بيرەە,biree,Iiree,Substitution,1,0,0,4,b->I
"رێي-ا-رێي لا ووون. نوونو ڽو خوول, گيس نە دوج وا دەڽ.","réy-a-réy la woon. Noonu ñu xool, gis ne doj wa deñ.","réy-a-réy la woon. Noonu ñu xool, gis ne duj wa deñ.",Substitution,1,0,0,51,o->u
"ووو, دا لەەن ا اتتە ني ڽو","woo, da leen a àtte ni ñu","woow, da leen a àtte ni ñu",Insertion,0,1,0,25,
نە,ne,ee,Substitution,1,0,0,1,n->e
"يوداا --دو يوداا يسكارييو دە, بەنەەن لا","Yudaa --du Yudaa Iskariyo de, beneen la","Yuddaa --du Yudaa Iskariyu de, beneen la",Substitution + insertion,1,1,0,38,o->u
"بون لاي واخ, جێلە كو چا فا مو دەنچ لو بون.","bon lay wax, jële ko ca fa mu denc lu bon.","bun lay wax, jële ko ca fa mu denc lu bon.",Substitution,1,0,0,41,o->u
"ڽو بارە, با چي مان ميي دي واخ اك يێەن.","ñu bare, ba ci man mii di wax ak yéen.","Ñu bare, ba cci man miy di wax ak yéen.",Substitution + insertion,2,1,0,36,"i->y, ñ->Ñ"
خوبي,xobi,xubi,Substitution,1,0,0,3,o->u
"جاپپولەەن ما. واايە ليي ام نا, ڠير مبيند مي ام.»","jàppuleen ma. Waaye lii am na, ngir Mbind mi am.»","yàppuleen ma. Waaye liy am na, ngir mbind mi am.»",Substitution,3,0,0,46,"M->m, i->y, j->y"
"ياللا, سانتال دوج ويي مو نەكك مبورو.»","Yàlla, santal doj wii mu nekk mburu.»","yalla, santal doj wiy mu nekk mburu.»",Substitution,3,0,0,34,"i->y, à->a, Y->y"
"تەگ چا نيكانور, تيمون, پارمەناس اك نيكولاس,","teg ca Nikanor, Timon, Parmenas ak Nikolas,","Teg ca nikanur, timon, parmenas ak nikulas,",Substitution,7,0,0,36,"o->u, N->n, P->p, T->t, o->u, N->n, t->T"
دەميين,demiin,demin,Suppression,0,0,1,5,
"ڽو نوپپالو, ني كو يوون وي سانتاانەە.","ñu noppalu, ni ko yoon wi santaanee.","ñu noppalu, ni ku yoon wi santaanee.",Substitution,1,0,0,35,o->u
"جێلە, تە خام-خام بيي مو يور, لو","jële, te xam-xam bii mu yor, lu","jële, te xam-xam biy mu yur, lu",Substitution,2,0,0,29,"o->u, i->y"
"چا, تاكك كو چي بانتو گاراب گو","ca, takk ko ci bantu garab gu","ca, takk ku ci bantu garab gu",Substitution,1,0,0,28,o->u
"يەەسو دێگگ كاددو يوويو, دالدي نە نجييت","Yeesu dégg kàddu yooyu, daldi ne njiit","Yeesu dégg kàddu yooyu, daldi njiit",Suppression,0,0,3,35,
"ديندي ناڽو خەەر, وا ڽو كو وبە ووون.","dindi nañu xeer, wa ñu ko ube woon.","dindi nañu xeer, wa ñu ko weewuon.",Substitution + suppression,3,0,1,31,"o->u,  ->e, b->w"
"نوونو كورنەي نە كو جاكك, دالدي تييت","Noonu Korney ne ko jàkk, daldi tiit","Noonu korney ne ku jàkk, daldi tiit",Substitution,2,0,0,33,"o->u, K->k"
واايە بي نو ڠەلاو لي سونالەە بو,Waaye bi nu ngelaw li sonalee bu,Waaye bi nu ngelaw li sunalee bu,Substitution,1,0,0,31,o->u
وايوومماتو,waywommatu,wayoommatu,Substitution,1,0,0,9,w->o
"ناكا لاڽو ڽێو چي كێر نجييت لي,","Naka lañu ñëw ci kër njiit li,","aka lañu ñëw ci kër njiit li,",Suppression,0,0,1,29,
"""وااو, داما ناڠوو.""","""Waaw, dama nangou.""","""Waaw, dama nanguu.""",Substitution,1,0,0,19,o->u
"جييتو, نا توپپ چي گاننااو ڽێپپ تە نەكك سورگاب ڽێپپ.»","jiitu, na topp ci gannaaw ñépp te nekk surgab ñépp.»","yiitu, na topp ci gannaaw ñépp te nekk surgab ñépp.»",Substitution,1,0,0,51,j->y
"لێەگي كات لورااڠەە ڠي نوي يووت, تە","Léegi kat loraangee ngi nuy yoot, te","léegi kat luraaŋgee ngi nuy yoot, te",Substitution,3,0,0,33,"n->ŋ, o->u, L->l"
وەدديوول,weddiwul,weeduul,Substitution + suppression,2,0,1,5,"w->u, d->e"
"جابار تە دو نجاالوو تاخ, بوو سێيااتەە اك كەنەەن, نجاالوو ڠا.»","jabar te du njaaloo tax, boo séyaatee ak keneen, njaaloo nga.»","yabar te du njaaloo tax, boo sëyaatee ak keneen, njaaloo nga.»",Substitution,2,0,0,60,"é->ë, j->y"
"گيس ڽيي لييت اك توخورو, اك مبوولوو","gis ñiy liit ak toxoro, ak mbooloo","gis ñiy liyt ak toxoru, ak mbooloo",Substitution,2,0,0,32,"o->u, i->y"
ڠا واخ كو كەم سا ڠێم;,nga wax ko kem sa ngëm;,nga wax ku kem sa ngëm;,Substitution,1,0,0,22,o->u
نجاقارە,njàqare,jjàqare,Substitution,1,0,0,6,n->j
"مبووس يي, بييڽ بي توورو, مبووس يي ياقو.","mbuus yi, biiñ bi tuuru, mbuus yi yàqu.","mbuus yi, biyñ bi tuuru, mbuus yi yàqu.",Substitution,1,0,0,38,i->y
"لاا وار ا دەف, با ام دوند گو دول جەەخ?»","laa war a def, ba am dund gu dul jeex?»","yaa war a def, ba am dund gu dul jeex?»",Substitution,1,0,0,38,l->y
نەككاات,nekkaat,ekkaat,Suppression,0,0,1,6,
"وو بارە, تە اتتە لەەن جوب چي دارا فا كانامام.","wu bare, te àtte leen jub ci dara fa kanamam.","wo bare, te àtte leen jub ci dara fa kanamam.",Substitution,1,0,0,44,u->o
«كيي نەە ووون نا: “مان ناا توج,«Kii nee woon na: “Man naa toj,«Kiy nee woon na: “Man naa toj,Substitution,1,0,0,29,i->y
“لي نو يور دو دوي ڠير نون,“Li nu yor du doy ngir nun,“Li nu yor du duy ngir nun,Substitution,1,0,0,25,o->u
"يۆببو ڠەەن ساخ فو نەكك تانت,بيي ماگگالوكاايو","Yóbbu ngeen sax fu nekk tànt,biy màggalukaayu","yóbbu ngeen sax fu nekk tànt,bii màggalukaayu",Substitution,2,0,0,43,"y->i, Y->y"
جامونو دينا ڽێو تە اگسي نا با,jamono dina ñëw te agsi na ba,jamonu dina ñëw te agsi na ba,Substitution,1,0,0,28,o->u
فاتوو ماا ڠي جاڠ وولوف,Fatou maa ngi jàng wolof,Fatoo maa ngi jàng wolof,Substitution,1,0,0,23,u->o
يۆبب,yóbb,yóóbb,Insertion,0,1,0,4,
مييكااييل,miikaayil,miykaayil,Substitution,1,0,0,8,i->y
"دينا كو ينديل جامم. لو كو موي,","dina ko indil jàmm. Lu ko moy,","dina ko indil jàmm. Lu ko muy,",Substitution,1,0,0,29,o->u
"كو گيسە, موي دەم اساماان.»","ko gise, muy dem asamaan.»","ku gise, muy dem asamaan.»",Substitution,1,0,0,25,o->u
سوننوون نا لوول چي لوخوي فاجكات يو,Sonnoon na lool ci loxoy fajkat yu,Sunnuon na lool ci loxoy fajkat yu,Substitution,2,0,0,32,"o->u, o->u"
دە لا وببيل ساي بێت.» مو نە لەەن: «يونەنت لا.»,de la ubbil say bët.» Mu ne leen: «Yonent la.»,de la ubbil say bët.» Mu ne leen: «Y.»,Suppression,0,0,8,38,
كاددو گي تە دەنچ كو چي خول,kàddu gi te denc ko ci xol,kàddu gi te denc ku ci xol,Substitution,1,0,0,25,o->u
گەنەەن,geneen,eeneen,Substitution,1,0,0,5,g->e
ميين,miin,miyn,Substitution,1,0,0,3,i->y
"جوللي نا چي ڽەەنتي خەبلا يێپپ,سەەن واخ وێر نا اددينا سێپپ.»","jolli na ci ñeenti xebla yépp,seen wax wër na àddina sépp.»","yulli na ci ñeenti xebla yépp,seen wax wér na dàddina addina sépp.»",Substitution + insertion,3,8,0,56,"ë->é, o->u, j->y"
يدرييسا,idriisa,diriisa,Substitution,2,0,0,5,"d->i, i->d"
"چي نجاالوو, ياا كوي تەگتال يوونو نجاالوو.","ci njaaloo, yaa koy tegtal yoonu njaaloo.","ci njaaloo, yaa kuy tegtal yoonu njaaloo.",Substitution,1,0,0,40,o->u
"نانو نە, دونو موس دارا, با كەرا نوي رەي پوول.","nanu ne, dunu mos dara, ba kera nuy rey Pool.","yanu ne, dunu Mus dara, ba kera nuy rey pool.",Substitution,4,0,0,41,"P->p, o->u, m->M, n->y"
"تييم سووف, ديناا وووتال نيت ڽێپپ چي مان.»","tiim suuf, dinaa wootal nit ñépp ci man.»","yimm suuf, dinaa wootal nit ñépp ci man.»",Substitution,2,0,0,39,"i->m, t->y"
"دييواانو يتورە اك بو تاراكونيت, تە ليساڽاس ييليف ابيلەن.","diiwaanu Iture ak bu Tarakonit, te Lisañas yilif Abilen.","Yiiwaanu iture ak bu tarakunit, te lisañas yilif abilef.",Substitution,7,0,0,49,"n->f, A->a, L->l, o->u, T->t, I->i, d->Y"
اڤونس,avons,awuns,Substitution,2,0,0,3,"o->u, v->w"
"سەەتلەەن بو بااخ, ني ڠەەن دي دێگلوو","Seetleen bu baax, ni ngeen di dégloo","seetleen bu baax, ni ngeen di dégluw",Substitution,3,0,0,33,"o->w, o->u, S->s"
مايەە,mayee,Ayee,Substitution + suppression,1,0,1,3,a->A
"ا تەگ بەنەەن يەن, لو دول دێنكاانە ييي ام نجاريڽ,","a teg beneen yen, lu dul dénkaane yii am njariñ,","a teg beneen yen, lu dul dënkaane yiy am njariñ,",Substitution,2,0,0,46,"i->y, é->ë"
"پييەەر توپپ كو فو سورە, با چي","Piyeer topp ko fu sore, ba ci","Piyeer topp ku fu sore, ba ci",Substitution,1,0,0,28,o->u
ماڠي لاي ڽاانال يەنە كوو باكه اك جامم.,Mangi lay ñaanal yene kou bakh ak jamm.,màngi lay ñaanal yene koo bàkk ak jàmm.,Substitution,6,0,0,33,"a->à, h->k, a->à, u->o, a->à, M->m"
"بوومام. لێەگي ناگ نو ڠي جاامو ياللا,","buumam. Léegi nag nu ngi jaamu Yàlla,","boomam. Léegi nag nu ngi jaamu Yàlla,",Substitution,2,0,0,35,"u->o, u->o"
"كەنن كا, مو دێنك كو جورۆومي ميليوڠ,","Kenn ka, mu dénk ko juróomi milyoŋ,","kenn ka, mu dénk ko juróomi miliwŋ,",Substitution,3,0,0,32,"o->w, y->i, K->k"
"مو ووويە بووانەرسەس, مااناام «ڽي اايتال ني دێننو گي» —","mu wooye Bowanerses, maanaam «Ñi aaytal ni dënnu gi» —","mu wooye booanerses, maanaam «Ñi aaytal ni dénnu gi» —",Substitution,3,0,0,51,"ë->é, w->o, B->b"
كي دينا ڽێو چي واختو وو ڠەەن كو سێەنووول.»,ki dina ñëw ci waxtu wu ngeen ko séenuwul.»,yi dina ñëw ci waxtu wu ngeen ko séenooul.»,Substitution,3,0,0,40,"w->o, u->o, k->y"
مالااكا ما نە كو: «سولال سا مبوبب تە توپپ چي مان.»,Malaaka ma ne ko: «Solal sa mbubb te topp ci man.»,yalaaka ma ne ko: «Solal sa mbubb te topp ci man.»,Substitution,1,0,0,49,M->y
"مي, مو ييليف كو مووم اك اسكانام, فەكك بووبا اماگول دووم.","mi, mu yilif ko moom ak askanam, fekk booba amagul doom.","mi, mu yilif ku moom ak askanam, fekk booba amagul doom.",Substitution,1,0,0,55,o->u
"بي نيت ڽووڽو دي سورە يەەسو, پييەەر","Bi nit ñooñu di sore Yeesu, Piyeer","Bi nit ñooñu di sure Yeesu, Piyeer",Substitution,1,0,0,33,o->u
"كو يێەنەە بيندال, نەتتالي لا ني خەو-خەو يوويو دەمە ووون تەمبە.","ko yéenee bindal, nettali la ni xew-xew yooyu deme woon tembe.","ké yéenee bindal, nettali la ni xew-xew yooyuddimbo.N tembe.",Substitution + suppression,6,0,2,54,"n->N, o->., w->b, e->i,  ->d, o->é"
"موي نەلاو واللا موي خوول, گوددي مباا","Muy nelaw walla muy xool, guddi mbaa","yuy nelaw walla muy xool, guddi mbaa",Substitution,1,0,0,35,M->y
«داماا ڽێو ڠير يندي سافارا سي چي,«Damaa ñëw ngir indi safara si ci,«Damaa ñëw ngir yidi safara si ci,Substitution,2,0,0,31,"n->i, i->y"
ندابب لو خەەڽ لو ڽوي واخ ميير.,ndàbb lu xeeñ lu ñuy wax miir.,Ndàbb lu xeeñ lu ñuy wax Miyr.,Substitution,3,0,0,27,"i->y, m->M, n->N"
ويچچاخ,wiccax,wcccax,Substitution,1,0,0,5,i->c
"ماگگ? يونەنت يي يتام فااتو ناڽو. وااو, لوو تەگ سا بوپپ?»","màgg? Yonent yi itam faatu nañu. Waaw, loo teg sa bopp?»","yàgg? yonent yi itam faatu nañu. Woa , lu teg sa bopp?»",Substitution + suppression,5,0,1,50,"o->u, w-> , a->o, Y->y, m->y"
نداختە چي ساما بيير خول يوونو ياللا وي نەەخ نا ما.,Ndaxte ci sama biir xol yoonu Yàlla wi neex na ma.,ndaxte ci sama biir xol yoonu Yàlla wal,Substitution + suppression,2,0,11,37,".->l, N->n"
دەفەووكو,defewuko,defewuku,Substitution,1,0,0,7,o->u
فوڽ,foñ,fuñ,Substitution,1,0,0,2,o->u
"بااي با, جوت نا. كو بێگگ ڽوڽام","Baay ba, jot na. Ku bëgg ñoñam","baay ba, jot na. Ku bëgg ñuñam",Substitution,2,0,0,28,"o->u, B->b"
مووما,muuma,mooma,Substitution,2,0,0,3,"u->o, u->o"
"خەەج, جام كو كو چي وەت, چا","xeej, jam ko ko ci wet, ca","xeej, jam ku ko ci wet, ca",Substitution,1,0,0,25,o->u
"نە كو: «ساڠ بي, سوو كو بێگگەە, مان ڠا ماا فاج.»","ne ko: «Sang bi, soo ko bëggee, man nga maa faj.»","ye ko: «Sang bi, suu ko bëggee, man nga maa faj.»",Substitution,3,0,0,46,"o->u, o->u, n->y"
تێەن,téen,éeen,Substitution,2,0,0,2,"é->e, t->é"
"فووگە, نداختە نو ڠي چي يوور-يوور رەكك.","fooge, ndaxte nu ngi ci yoor-yoor rekk.","fooge, ndaxte nu ngi ci yuur-yoor rekk.",Substitution,2,0,0,37,"o->u, o->u"
"مولوگ اك بيددييووب رەفان,بي ڽو داان بوككاالەەل","Molog ak biddiiwub Refan,bi ñu daan bokkaaleel","Mullug ak biddiiwub refan,bi ñu daan bokkaaleel",Substitution + insertion,3,1,0,43,"R->r, o->u, o->l"
يومي,yumi,yomi,Substitution,1,0,0,3,u->o
